rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,releaseViolations,maxReleaseDev,completionTime
1,66344.0,46,4,0.08,210.39041174456693,400.7147737418403,109.5692983817942,20.83829693360645,41,0.9441694813068285,0.7991678302335131,0.535184729100633,0.0655203305025679,0.3168144376187522,27918.0,24629.0,13797.0,0,12.333333333333343,468.0481070751736
2,66982.0,46,4,0.08,213.13010864659907,400.17726932498124,110.3558982141049,21.319642726553024,44,0.9531090119165482,0.8266440229764592,0.5507479152861077,0.06564246310822562,0.3498739902777889,24624.0,29558.0,12800.0,0,12.333333333333343,467.17726932498124
3,68958.0,48,2,0.04,222.67994947464237,421.0250395405814,116.46831862713658,22.07743222956362,45,0.9464896061464209,0.8211739031911428,0.553629260107681,0.0655256503777848,0.3548745643339741,24614.0,29569.0,14775.0,0,12.333333333333343,488.35837287391473
4,68906.0,48,2,0.04,225.11307403217643,427.78170030006754,117.78436802303099,22.25437167587913,45,0.9338439861125106,0.8207017856411868,0.5442394202620534,0.06539340142695933,0.35145337985563185,24637.0,29520.0,14749.0,0,12.333333333333343,489.34600895079836
5,67894.0,47,3,0.06,216.3903269181169,410.6329640295209,113.87260128619965,21.427802977353217,43,0.954167177712703,0.8323641504706965,0.550480375035081,0.06560127900091235,0.3450119461462447,26270.0,27848.0,13776.0,0,12.333333333333343,477.6329640295209
6,65323.0,45,5,0.1,206.7029475832474,391.5108273376178,107.27977244211657,20.597554221566334,42,0.9515637351757178,0.8089546581827816,0.5444788373265667,0.06542920736288292,0.3261225876057911,24611.0,27914.0,12798.0,0,12.333333333333343,458.5108273376178
7,66298.0,46,4,0.08,211.35865766052382,401.0322264011057,111.42786420149996,21.024929263508746,42,0.9314935216033253,0.8260981658427748,0.5450937586961374,0.06556925218598471,0.3686567223198236,24636.0,27879.0,13783.0,0,12.333333333333343,467.69889306777236
8,66296.0,46,4,0.08,212.78998520090994,401.6581155807558,109.7374292714598,21.093447455131397,42,0.9529900105778197,0.8425033720410662,0.555489616795873,0.06538854117206784,0.37206224182005565,26241.0,26263.0,13792.0,0,12.333333333333343,468.9914489140891
9,68596.0,47,3,0.06,217.37343055054666,410.5812582001122,111.82112463203394,21.54860530420319,43,0.9423035228899391,0.8448268303137116,0.5491233119405353,0.06556262120559371,0.3917536240039128,26248.0,29541.0,12807.0,0,12.333333333333343,477.9145915334455
10,69570.0,48,2,0.04,220.95165341982724,420.31287705305476,117.08557676088351,21.817183769136395,43,0.9545557254186932,0.8376821415936431,0.5515087210689792,0.06562134456995922,0.37555106801639354,26239.0,29551.0,13780.0,0,12.333333333333343,487.6462103863881
11,68604.0,47,3,0.06,217.19592553618273,410.9725574026848,112.16058193134316,21.508464187671063,42,0.9537612278844029,0.8072301456423964,0.5338768323204964,0.06555467013336387,0.36575910348797946,26270.0,29537.0,12797.0,0,12.333333333333343,477.9725574026848
12,68941.0,48,2,0.04,222.3751385605891,420.91171617637843,115.67804407394554,21.966918273010357,44,0.9500188617287231,0.8163343065756731,0.5439844248589788,0.06554085910780645,0.35756947535253475,26268.0,27918.0,14755.0,0,12.333333333333343,488.24504950971175
13,68899.0,48,2,0.04,223.10723234380984,420.989795633399,119.35766478534373,22.14832751046263,44,0.9545050640406734,0.818027205744342,0.5446486036895041,0.06553037958228689,0.3158828966073577,27900.0,26240.0,14759.0,0,12.333333333333343,488.3231289667323
14,72231.0,50,0,0.0,232.82976069595463,441.65780272050046,122.12832024465989,22.901687280237837,45,0.9560406866774267,0.8288259392242245,0.5461483653687289,0.06557491393935805,0.3687192847579669,27906.0,29554.0,14771.0,0,12.333333333333343,508.32446938716714
15,69581.0,48,2,0.04,221.99890566467673,420.4286151926648,115.44251735966694,21.946359915587994,44,0.953813626513603,0.8247179518369568,0.544716832885169,0.06560577367033865,0.36821261996182286,26255.0,29543.0,13783.0,0,12.333333333333343,487.7619485259981
16,67994.0,47,3,0.06,217.76518013256958,412.0070472485268,112.57186361217211,21.454611242167648,42,0.9472152114413828,0.827015633991305,0.5451316343791369,0.06536760640799452,0.36074206301903927,26252.0,27948.0,13794.0,0,12.333333333333343,479.34038058186013
17,66940.0,46,4,0.08,215.31188202085733,402.47569302414786,111.6344524336634,21.472338147494995,44,0.9512034040081331,0.8254090131308484,0.5532578543265387,0.06532109568682037,0.32408916565724466,27893.0,26248.0,12799.0,0,12.333333333333343,469.47569302414786
18,67988.0,47,3,0.06,218.73344921972324,412.5511272262743,112.01192880240039,21.599995341203904,43,0.9508340236751787,0.8292149933230449,0.5450922040213951,0.06533887953629776,0.36647293625432653,26280.0,27929.0,13779.0,0,12.333333333333343,479.5511272262743
19,63682.0,44,6,0.12,202.37937706001424,380.4400833152941,105.29505597444437,20.586797102358254,44,0.9504079592807424,0.8040415899343676,0.5421148558973896,0.06555812594166545,0.31239721715709196,27917.0,22966.0,12799.0,0,12.333333333333343,447.4400833152941
20,69590.0,48,2,0.04,224.26716448313263,423.02007898958686,116.74623619173528,22.169326588515975,44,0.9514051267670808,0.8422688302035448,0.5448057707551923,0.06530344647505763,0.4022731291732615,27875.0,27907.0,13808.0,0,12.333333333333343,490.02007898958686
