rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,releaseViolations,maxReleaseDev,completionTime
1,66271.0,46,4,0.08,208.5019728220568,390.4536480088084,106.57592745118822,20.819370947788972,43,0.5836463487738006,0.930300208309739,0.9349467546617629,0.06540775953627757,0.5952276772367251,26242.0,26249.0,13780.0,0,14.800000000000033,468.85364800880836
2,70586.0,49,1,0.02,220.90939228011192,417.92044826477166,117.82855520749412,21.7167691162494,43,0.5646650733422185,0.9359095767109142,0.9355248154638597,0.06550095705986346,0.6492092901879335,26268.0,29537.0,14781.0,0,14.800000000000033,498.7204482647717
3,68953.0,48,2,0.04,216.87267036027654,409.8071795365297,113.08579853612392,21.287677683514023,42,0.5816425703295991,0.9318327088233676,0.93112266917784,0.06522529904725403,0.6278751270744954,26261.0,27910.0,14782.0,0,14.800000000000033,490.6071795365297
4,62749.0,43,7,0.14,192.4295441476788,358.2525710289191,97.76361244023451,19.223496715427686,40,0.5741813905515643,0.9292271650310229,0.9333700038883377,0.06529210522440711,0.6371788596277465,22997.0,27930.0,11822.0,0,14.800000000000033,439.0525710289191
5,67945.0,47,3,0.06,210.72176909123505,398.13118559187035,109.58104310562062,20.778759735002946,41,0.5727072885798652,0.9312729140638161,0.9349065952680843,0.06542345597021654,0.6021053664477802,26259.0,27900.0,13786.0,0,14.800000000000033,478.93118559187036
6,64639.0,45,5,0.1,200.0806127872647,379.1069159514813,103.8904248785429,19.97370813615821,41,0.5624769475205231,0.9350647702292423,0.9363520718472804,0.06557277923899517,0.6174570614093019,26246.0,24618.0,13775.0,0,14.800000000000033,457.5069159514813
7,70254.0,48,2,0.04,215.55424276913445,409.93138801497304,114.10093219531078,21.330557626879887,42,0.5698544899743521,0.9412126091699717,0.9417273845247219,0.06552927128046666,0.6225273678027675,27888.0,29554.0,12812.0,0,14.800000000000033,488.331388014973
8,68582.0,47,3,0.06,212.51129156022722,399.401102759923,109.51980445146168,20.97984546403062,42,0.5832155582999372,0.930826576987628,0.9286280510123706,0.06530483809457088,0.6130452962636596,27892.0,27903.0,12787.0,0,14.800000000000033,479.801102759923
9,61399.0,41,9,0.18,184.58162796052838,340.845004137605,92.10200406739528,18.38909190521489,38,0.5596636701412008,0.9209724871318835,0.9226190647051838,0.06488702077141918,0.5871843578884712,24637.0,27892.0,8870.0,0,14.800000000000033,421.24500413760495
10,70558.0,49,1,0.02,220.5736973663707,417.8167464226184,115.42612195515194,21.728880905826497,43,0.6058483761438604,0.9359644493259525,0.9324181145135104,0.06556717914687833,0.6237483605168623,27895.0,27897.0,14766.0,0,14.800000000000033,498.2167464226184
11,66974.0,46,4,0.08,206.21718190402257,389.2348533019609,108.71754008412788,20.616592713610757,42,0.5634661383995085,0.9304680431814893,0.934963904812356,0.06538403644137536,0.5816868121152665,27905.0,26262.0,12807.0,0,14.800000000000033,469.0237607793305
12,67923.0,47,3,0.06,210.40695035425682,396.62544117550857,108.81899575426196,20.874122732061966,42,0.5807442356264153,0.9367222060943828,0.9411658899421481,0.06562979395522985,0.6047401458380708,27892.0,26259.0,13772.0,0,14.800000000000033,477.4254411755086
13,66269.0,46,4,0.08,205.77493618707982,386.91908202435417,105.35999086196084,20.453886243323932,41,0.5800339540491988,0.9362964990395757,0.9419534199027909,0.0655664219085033,0.6068737701427598,26235.0,26259.0,13775.0,0,14.800000000000033,467.7190820243542
14,69555.0,48,2,0.04,214.9783308973648,406.50184319572116,111.85862127547463,21.275847734916464,43,0.5790025221300645,0.9399610917187289,0.935124874023701,0.06566771795925146,0.6231270762691931,27894.0,27900.0,13761.0,0,14.800000000000033,487.3018431957212
15,68911.0,48,2,0.04,216.7900211864918,408.82803413098986,112.94293023603473,21.38013901255009,43,0.5581811438646344,0.9314228975684093,0.9303642399282973,0.0654091707087907,0.6482136914584989,24597.0,29544.0,14770.0,0,14.800000000000033,489.2280341309899
16,66947.0,46,4,0.08,208.09485560836066,388.95180847832285,107.66141536562533,20.691294106465282,43,0.5816530102821433,0.9315215299710354,0.9281716507602065,0.06533833706977825,0.6049126148048218,27890.0,26258.0,12799.0,0,14.800000000000033,469.3518084783229
17,63392.0,43,7,0.14,189.9353563587484,358.0718856543554,96.36421343375402,18.941290631454507,37,0.5951896429165477,0.9294944360020336,0.9359463055251123,0.06531898625478101,0.6019319086924925,24621.0,27932.0,10839.0,0,14.800000000000033,438.8718856543554
18,69621.0,48,2,0.04,217.5504469514673,408.4215197112424,112.01875735417526,21.514678160557082,44,0.5828047541144894,0.9335418677049978,0.9324044975594221,0.06541004169008684,0.6211801556979504,27920.0,27908.0,13793.0,0,14.800000000000033,489.2215197112424
19,69627.0,48,2,0.04,214.98042928734142,407.4057811124916,114.7844313484986,21.185285879552737,42,0.577997207278055,0.9335052987836123,0.9331819124452064,0.06554613082843974,0.6225075725333842,26280.0,29559.0,13788.0,0,14.800000000000033,488.2057811124916
20,67336.0,47,3,0.06,210.56319416027858,397.286276339046,108.85808422656743,20.842466229523104,42,0.5571385719440176,0.931707681869403,0.9381414647463296,0.06559395755195185,0.627173578574525,23002.0,29553.0,14781.0,0,14.800000000000033,477.68627633904606
