rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,releaseViolations,maxReleaseDev,completionTime
1,68893.0,48,2,0.04,206.38849535477468,387.0779076620278,105.60969308173689,20.38181174684642,40,0.7186451815097237,0.9405042488508683,0.7747942057314542,0.06556330351702494,0.8672781159630112,24619.0,29514.0,14760.0,0,18.5,488.0779076620278
2,66935.0,46,4,0.08,195.2236999350861,366.453650398527,100.23971511615896,19.337305896521404,38,0.7564648132373628,0.9339618924142925,0.7802282262166668,0.0656036521279101,0.8740301657521786,24602.0,29542.0,12791.0,0,18.5,467.453650398527
3,67320.0,47,3,0.06,202.01676846265008,390.4045056984015,105.50787098339073,20.004583768246903,41,0.7025519247528653,0.9358358823670918,0.8022242928615773,0.06557359936667297,0.8433463914746981,27923.0,24622.0,14775.0,0,18.5,477.83458031828195
4,67909.0,47,3,0.06,205.06810099018526,379.791754773533,104.23196822043815,20.13095304880523,40,0.7129462016938962,0.9338540532569586,0.7839256519908252,0.06517028011034061,0.8706222513257889,26264.0,27863.0,13782.0,0,18.5,480.791754773533
5,68926.0,48,2,0.04,206.46223049429628,400.97242328249234,107.76831289655604,20.412672193282372,41,0.7319948563372153,0.9409933057036948,0.7893959635456833,0.0655214622318507,0.8755787470254977,26263.0,27900.0,14763.0,0,18.5,488.3895888459652
6,62757.0,43,7,0.14,182.2780679714159,341.3721354178271,92.31799948852478,18.247706099024082,38,0.700941810127622,0.9288006672799554,0.7455051358442703,0.06534237550740077,0.8639216373619836,21352.0,29587.0,11818.0,0,18.5,438.71479180336564
7,68940.0,48,2,0.04,206.0056740657282,388.25801452544584,107.37758095009612,20.33494016874944,40,0.7610022972365085,0.9344384963590142,0.7700546628600012,0.06540516261351036,0.8730764649677588,26283.0,27889.0,14768.0,0,18.5,489.25801452544584
8,61385.0,43,7,0.14,181.50951613007163,343.42738602244134,93.64282487889538,17.940081776355964,35,0.7094281094480783,0.9299066405000009,0.7650553113854786,0.06504787856621612,0.86258503856679,22980.0,24612.0,13793.0,0,18.5,440.7010235927242
9,70577.0,49,1,0.02,214.5210669339092,399.32764544636024,109.99800747981497,21.05605869277558,42,0.7240038362534124,0.9331943646494,0.7763678039093511,0.0652905490311725,0.8627137484537011,26276.0,29549.0,14752.0,0,18.5,500.32764544636024
10,70559.0,49,1,0.02,212.07741078185356,402.5951800050374,108.76642970661557,20.928561037888596,42,0.7363891543636452,0.9383771351157097,0.7890286581944298,0.06554644045846943,0.8637560659369927,27886.0,27902.0,14771.0,0,18.5,498.3743806403101
11,67318.0,47,3,0.06,202.54077231391344,383.1203131484704,106.67537592190709,20.066673127585517,40,0.7270415738383962,0.9343510305305942,0.7674508871179822,0.0654229790860239,0.8493473255005317,26303.0,26257.0,14758.0,0,18.5,478.93467663912855
12,68949.0,48,2,0.04,206.69285786553948,387.4595560243136,105.875276524699,20.423058650420796,41,0.7515258108302791,0.9376328963621949,0.8060457758244949,0.06551207690654161,0.8352145629208286,27907.0,26278.0,14764.0,0,18.5,488.4595560243136
13,64691.0,45,5,0.1,194.13327354174035,357.9988177981214,99.6293081854458,19.16406197129249,39,0.6964974104193162,0.9307854274160672,0.7719918114861344,0.0653596454646964,0.87157610547675,22991.0,27919.0,13781.0,0,18.5,458.9988177981214
14,67941.0,47,3,0.06,200.81346680296394,377.2234581406873,102.33540683231433,19.808936247786427,39,0.713697071437806,0.9367739880493258,0.7761982000435873,0.06558885229392654,0.8433477386963256,24615.0,29540.0,13786.0,0,18.5,477.7234581406873
15,69572.0,48,2,0.04,207.41558656631517,388.7789472248945,105.83636737695198,20.421613920907664,40,0.7795211452365982,0.9342954530228185,0.7782632097719601,0.06533559717360898,0.8569744748497836,27872.0,27914.0,13786.0,0,18.5,489.7789472248945
16,72196.0,50,0,0.0,216.1072327372957,407.3789930405656,111.76154576261199,21.275464795610738,42,0.7433542962690795,0.9400002180889784,0.7911059206646935,0.06563243172113424,0.8853618034098749,27882.0,29530.0,14784.0,0,18.5,507.8789930405656
17,64012.0,45,5,0.1,191.32008398200247,357.0010308536563,98.21618436951816,19.079363749756418,39,0.7163748009935043,0.9344864881372399,0.7627996399489503,0.06557362273921583,0.857073249678662,22974.0,26280.0,14758.0,0,18.5,457.5010308536563
18,66921.0,46,4,0.08,195.0504707313331,384.62492561717903,103.46353300912612,19.5979899127946,40,0.7415588644839108,0.9347284240769322,0.801138387810912,0.06555406983976794,0.8407732027279534,27854.0,26255.0,12812.0,0,18.5,467.8072123000812
19,65646.0,46,4,0.08,194.67404428044577,367.5824091554559,101.55260870155249,19.226529779946937,39,0.7404878863464474,0.9358599403690133,0.7878744438611828,0.06551552903258515,0.871336973837553,26244.0,24610.0,14792.0,0,18.5,468.0824091554559
20,71212.0,49,1,0.02,213.34847160283374,398.623622242451,109.03272863688652,20.957245140955635,41,0.7358386594089954,0.9343898401123467,0.7683009251107733,0.06538255040874469,0.863697536573862,27899.0,29531.0,13782.0,0,18.5,499.623622242451
