rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,releaseViolations,maxReleaseDev,completionTime
1,66941.0,46,4,0.08,195.71843222435328,368.3786021190131,98.69933726198086,19.309423573018083,38,0.5808092395584521,0.9385195365722455,0.942367151539575,0.06540427848077122,0.6205316390760599,26264.0,27880.0,12797.0,0,18.5,468.8786021190131
2,70548.0,49,1,0.02,211.3371214817011,396.5936555712679,108.9460410881858,20.86797607454316,42,0.5584467844624939,0.9387797327255993,0.9371215471098487,0.06564928290567397,0.6309545581876386,27844.0,27923.0,14781.0,0,18.5,497.5936555712679
3,66977.0,46,4,0.08,197.2405463107357,366.9087918567129,99.47322258977051,19.543288756550798,40,0.5610782189990096,0.933156460668429,0.9394420911968471,0.06553983853344156,0.5932604227501165,27903.0,26279.0,12795.0,0,18.5,467.9087918567129
4,67312.0,47,3,0.06,202.45055900184695,377.2139638289331,102.65524394015036,19.991941766672486,41,0.580922118814402,0.9388322932049238,0.9415723394812918,0.0655901558375916,0.6217012045151545,26254.0,26276.0,14782.0,0,18.5,477.7139638289331
5,72229.0,50,0,0.0,217.3044063674462,408.5401666376784,111.73253454603602,21.34452451982221,42,0.5779458606520105,0.9362131005656895,0.9390232894340572,0.06548271731385617,0.6201473659782869,27917.0,29532.0,14780.0,0,18.5,509.0401666376784
6,71227.0,49,1,0.02,211.6112508439243,397.46175322640136,108.59134118230085,20.840792467563613,41,0.5901760237121064,0.938267567265987,0.9333158566542142,0.06553495118777841,0.6276472726212098,27914.0,29528.0,13785.0,0,18.5,498.46175322640136
7,68549.0,47,3,0.06,202.42474820104397,381.77164763388834,105.0537190765372,20.044697224148674,40,0.5491948747504924,0.9300264626172043,0.9287901955830229,0.06540725969766019,0.6069274349398363,27874.0,27879.0,12796.0,0,18.5,479.0497794613191
8,67948.0,47,3,0.06,203.50907229065473,377.8554536812894,102.96980639117228,20.058858416312226,39,0.5728755449892854,0.9334009907503757,0.9379393022939407,0.06543380281555232,0.6195274649818195,24639.0,29513.0,13796.0,0,18.5,478.8554536812894
9,72220.0,50,0,0.0,216.22150603382107,407.0614197385784,111.59586955696658,21.279071548581403,42,0.6067680637155461,0.9349215175383007,0.9382377623175578,0.06560886546056754,0.6135399079550207,27914.0,29540.0,14766.0,0,18.5,508.0614197385784
10,67979.0,47,3,0.06,201.42144879029044,376.8493000533852,102.30046082460628,19.969685240357215,40,0.5808737325186347,0.9377843959376249,0.9413012617183124,0.06557157942856205,0.6054437938822527,27891.0,26290.0,13798.0,0,18.5,477.8493000533852
11,67978.0,47,3,0.06,203.11358396029138,378.45322827258923,102.99726544615136,20.035266486637344,40,0.5698294127664856,0.9344804717241131,0.9282688138790647,0.06542044501159604,0.6079138864805881,27908.0,26277.0,13793.0,0,18.5,478.95322827258923
12,66296.0,46,4,0.08,194.96617244227753,370.4217777341999,100.43639767285957,19.465700274164327,39,0.5924316796018093,0.9368729009615036,0.935607608818627,0.06563497827689328,0.6056968528827378,27875.0,24624.0,13797.0,0,18.5,467.2305449282496
13,68558.0,47,3,0.06,202.30825516329088,378.49541364773063,102.49903430462561,19.973999412072054,40,0.5705462569500788,0.9373709478842487,0.9342407629373937,0.06534647139785343,0.6128570367561947,27882.0,27895.0,12781.0,0,18.5,479.49541364773063
14,68942.0,48,2,0.04,208.4331407614222,401.4055784902334,106.89151566633032,20.616277101557642,42,0.5606420219274081,0.9367180433987772,0.9386758250580152,0.06553618956282142,0.6249687799346901,26244.0,27907.0,14791.0,0,18.5,488.2798376510061
15,70539.0,49,1,0.02,210.66260606130126,410.1249735711377,109.32635107752128,20.75496136907109,41,0.564026944679805,0.9371784418393645,0.935353634863766,0.06565698461848625,0.6503070432476555,26236.0,29528.0,14775.0,0,18.5,497.53528670990937
16,69603.0,48,2,0.04,208.04184933796435,387.922477535763,105.37981725738307,20.475446804543314,40,0.5779546402437877,0.9361536868717835,0.9313442381728607,0.06545004877109441,0.636025683813655,26273.0,29545.0,13785.0,0,18.5,488.922477535763
17,67251.0,47,3,0.06,199.66555704238206,376.95156052540955,101.97884016005051,19.75979226568577,39,0.5889640032291172,0.9381763295369928,0.9425409851792459,0.06555755001383148,0.6249190444127924,26262.0,26240.0,14749.0,0,18.5,477.95156052540955
18,71259.0,49,1,0.02,211.23218559964792,396.96410978086175,108.56539994201749,20.83527648912879,41,0.5595393023964729,0.9411316420592979,0.9398096463811211,0.06566637878872643,0.6311067017915039,27918.0,29556.0,13785.0,0,18.5,497.46410978086175
19,67280.0,47,3,0.06,204.9099182249325,393.7415028195664,104.17712336595945,20.1479295035223,41,0.5804596052003067,0.9298470279481668,0.9281490604129058,0.06519208530890085,0.6070821737981473,27938.0,24590.0,14752.0,0,18.5,480.63094139213393
20,66241.0,46,4,0.08,194.4798265371579,367.66296743105494,101.37257271170455,19.29661158841382,39,0.5798490461516996,0.9300141999207887,0.9292851424422778,0.06550425556925937,0.6107202561935828,26230.0,26243.0,13768.0,0,18.5,468.16296743105494
