rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,releaseViolations,maxReleaseDev,completionTime
1,72246.0,50,0,0.0,216.77972535502894,408.6985681292808,109.78852207396935,21.30728676436302,42,0.9368693089331168,0.869127978641221,0.5497733124694449,0.0655266899136661,0.43906528747235807,27906.0,29550.0,14790.0,0,18.5,508.6985681292808
2,68959.0,48,2,0.04,208.7145589745785,388.2773793848414,105.70629483172664,20.612842111950872,42,0.9333759135828859,0.8574183852340269,0.5422306722646041,0.06540257397599895,0.4263455606165364,27891.0,26302.0,14766.0,0,18.5,489.2773793848414
3,67284.0,47,3,0.06,199.60820640592453,378.3524849734146,101.72707512004267,19.750733276784832,39,0.933203046703194,0.8860623935006275,0.5543743674492646,0.06557114238942709,0.47058163826463945,24622.0,27880.0,14782.0,0,18.5,477.8524849734146
4,66273.0,46,4,0.08,195.46953215327406,367.164986849803,98.47557451422874,19.4263861465575,39,0.9330602892874161,0.854406999515251,0.5466422671938299,0.06550397301818124,0.4346160592199828,24611.0,27883.0,13779.0,0,18.5,468.164986849803
5,71211.0,49,1,0.02,211.19978655870736,397.9158259973054,106.65128269943294,20.79161918921634,41,0.9351061779500688,0.8658797898051348,0.5491355967007264,0.06554098999826558,0.43062618844889194,27890.0,29540.0,13781.0,0,18.5,498.4158259973054
6,68918.0,48,2,0.04,207.4826989291203,387.24049435600944,104.28517161165016,20.507573425858304,42,0.9336164173936903,0.8766885622767101,0.5423947723221407,0.06560865946193653,0.4857672509100654,27888.0,26252.0,14778.0,0,18.5,487.74049435600944
7,63707.0,44,6,0.12,184.68551278230086,348.3849337347072,94.47977386219576,18.40879213425689,37,0.9300778202960129,0.8767178026825383,0.5486294746399033,0.06527440314821538,0.46834908785120816,22976.0,27930.0,12801.0,0,18.5,449.3849337347072
8,66939.0,46,4,0.08,195.95420958895812,367.2489275959707,98.2079574784204,19.41035941737932,39,0.9338102975951056,0.8727335573474115,0.5480720277068368,0.06549223043416652,0.44827039203182606,26271.0,27877.0,12791.0,0,18.5,468.2489275959707
9,72214.0,50,0,0.0,216.9168709496683,408.2379296941335,110.39894498772688,21.31911720048909,42,0.9350179308739831,0.8837951951768934,0.5462680744017026,0.06552162004781951,0.48909831439833745,27892.0,29564.0,14758.0,0,18.5,508.7379296941335
10,64683.0,45,5,0.1,193.31005253544862,358.64409335308085,96.30874536123157,19.14318232472553,39,0.9307299822244754,0.8774529924111798,0.5480187181049558,0.065267889729968,0.4602295926592435,24621.0,26270.0,13792.0,0,18.5,459.64409335308085
11,63030.0,44,6,0.12,185.11374318894502,347.36171182890445,93.57166934353006,18.465244772643587,37,0.9297099798134423,0.8753484957278692,0.5447869590421477,0.06542336814104899,0.4757267991663423,22989.0,26258.0,13783.0,0,18.5,448.36171182890445
12,65621.0,46,4,0.08,199.03401059594947,368.2693041112765,99.16901887064402,19.732521126419556,40,0.9333496616096141,0.8650823243247231,0.548756796793533,0.06541952810840833,0.4271510784722186,26225.0,24633.0,14763.0,0,18.5,468.7693041112765
13,65657.0,46,4,0.08,195.9981848214483,369.7498179251201,99.4638339913452,19.364771128537626,39,0.9289233360655179,0.8823227236669892,0.550770511216873,0.0653525382327591,0.48529495527133687,22999.0,27889.0,14769.0,0,18.5,469.2498179251201
14,63674.0,44,6,0.12,187.48697528130543,349.25775082926,92.33084334802982,18.57841880622945,38,0.9257495827480314,0.8762448602399119,0.5474729766582,0.06522029532397998,0.4607815260176727,24620.0,26233.0,12821.0,0,18.5,449.75775082926
15,69599.0,48,2,0.04,205.33998024909852,387.7533528762033,104.94900881987789,20.21980543542332,40,0.9319067807247431,0.8650892471889731,0.5429608679966819,0.0654726966304931,0.46687201442013665,26247.0,29557.0,13795.0,0,18.5,488.7533528762033
16,66997.0,46,4,0.08,196.28863971503048,367.1126151226356,98.00075818208812,19.416466638781504,39,0.9313858294188527,0.8789531605446432,0.5475629745338212,0.06551130150302113,0.4680600101303393,26304.0,27900.0,12793.0,0,18.5,468.1126151226356
17,68900.0,48,2,0.04,209.5461910110254,388.80000204951267,104.13023898155937,20.558253426458315,40,0.933301140288695,0.8641003243521539,0.5466510940002153,0.06533278862004822,0.4294695588824165,27911.0,26216.0,14773.0,0,18.5,489.80000204951267
18,68850.0,48,2,0.04,206.82610935962688,386.98976451502637,104.30241572537233,20.381853621110526,41,0.9344794417118876,0.8695743818181032,0.5529462208526197,0.06557514588815652,0.41983097780267786,26238.0,27856.0,14756.0,0,18.5,487.98976451502637
19,72188.0,50,0,0.0,216.4482855678585,407.63897139138777,109.76361435367164,21.29813867406973,42,0.9358590030828663,0.8625100054706706,0.5484991466968928,0.06559885230227451,0.4296972531253357,27907.0,29520.0,14761.0,0,18.5,508.13897139138777
20,64626.0,45,5,0.1,189.6149332298604,357.98486956802185,96.34385580693984,18.821877993391148,37,0.9295360983716203,0.8618456051146622,0.5511805029664837,0.0653616316987416,0.429324105784291,22950.0,27905.0,13771.0,0,18.5,458.98486956802185
