rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,releaseViolations,maxReleaseDev,completionTime
1,67296.0,47,3,0.06,199.6323758050671,377.0875136913832,103.35868149520526,19.66100194012728,39,0.9530173217902929,0.8415936270849601,0.5538791675835758,0.06553890749290671,0.38879226297713654,24630.0,27899.0,14767.0,0,18.5,478.0875136913832
2,69554.0,48,2,0.04,206.8963733800108,389.0781511399542,105.07354454249422,20.368257303584773,40,0.9469029288533019,0.8064933130443697,0.5322413915972378,0.06529570829788248,0.3508069987891579,27897.0,27881.0,13776.0,0,18.5,490.0781511399542
3,72233.0,50,0,0.0,216.59881418346245,407.33550130773114,110.03126096979615,21.304710533323536,42,0.9491610315017592,0.8290315865754301,0.5541211434738268,0.06557349082954238,0.35113000477674655,27888.0,29567.0,14778.0,0,18.5,508.33550130773114
4,62022.0,43,7,0.14,184.1524522104972,339.55567238853143,90.18925428669253,18.245235147919672,38,0.9472353873012097,0.8257691578911047,0.541853218420526,0.065217373969702,0.3826132222101506,22957.0,26260.0,12805.0,0,18.5,439.55567238853143
5,72214.0,50,0,0.0,215.81170007574391,406.8764162090439,109.99562524792142,21.246477803264934,42,0.9560147342462793,0.8260876256673033,0.5484523907455207,0.0656327647228518,0.3512017649188382,27912.0,29532.0,14770.0,0,18.5,507.8764162090439
6,69557.0,48,2,0.04,205.84792632145073,386.09826382738106,104.77096197316189,20.377425151421743,41,0.9463711271771296,0.8320485705007986,0.5495415766643245,0.06569516333020688,0.3628735296058676,26264.0,29528.0,13765.0,0,18.5,487.09826382738106
7,68959.0,48,2,0.04,204.78209581303625,386.5208487043033,105.24195137831444,20.253047367062663,40,0.9536525231591085,0.8154369427113921,0.5394486449182772,0.06563821851936634,0.3727352572543057,26261.0,27925.0,14773.0,0,18.5,487.5208487043033
8,70574.0,49,1,0.02,213.21079214278558,398.6438822441887,107.29762706529861,20.964599230900262,42,0.9535306068109849,0.8359971516854054,0.5490899100905203,0.06544539125631442,0.3608342466859377,27916.0,27887.0,14771.0,0,18.5,499.1438822441887
9,72241.0,50,0,0.0,218.1842336878092,409.58615134026536,109.85791876402554,21.386998364347296,42,0.9535302534122156,0.8184349887102886,0.5448565897767638,0.06534843819176249,0.3737847159119147,27882.0,29591.0,14768.0,0,18.5,510.08615134026536
10,68906.0,48,2,0.04,206.52261639792127,387.78333032093826,103.56077541467573,20.402381772820263,40,0.9458060495761893,0.827729466877533,0.545604269714926,0.0654686811413732,0.3680391488465174,26244.0,27888.0,14774.0,0,18.5,488.78333032093826
11,66279.0,46,4,0.08,195.90764284658883,368.0318145021558,101.12135278601193,19.45101235479858,39,0.9523685660874299,0.8301849273071807,0.5489387643095464,0.06545268798715816,0.35855805038675065,26246.0,26241.0,13792.0,0,18.5,468.5318145021558
12,67252.0,47,3,0.06,200.84918875995174,377.62726752379467,100.94087666010653,19.77924136742869,39,0.9528987239695151,0.8540018255222716,0.5485177583338526,0.06546499846412451,0.4394733494235653,24598.0,27889.0,14765.0,0,18.5,478.62726752379467
13,67948.0,47,3,0.06,201.38042038734133,377.2260701347526,101.31666738269604,19.92358227957302,39,0.9540829412399153,0.8326222536352736,0.5584388685008553,0.0656572121562551,0.3484966861896929,26273.0,27885.0,13790.0,0,18.5,477.2260701347526
14,70578.0,49,1,0.02,210.82285862586807,396.78891577348054,106.73027464507152,20.790281443842115,41,0.9488663077518515,0.8099852473413407,0.5345639497549385,0.06562353164474975,0.35976538237750766,27878.0,27929.0,14771.0,0,18.5,497.78891577348054
15,67921.0,47,3,0.06,202.90922467424613,378.899193585643,102.08880091430896,19.939757527531278,40,0.9465675072585578,0.7739448437089315,0.5275300687472533,0.06529148986315514,0.28162734197363576,27928.0,26214.0,13779.0,0,18.5,479.899193585643
16,70560.0,49,1,0.02,210.74123126043682,399.3181781735972,107.7165463243522,20.72791653056134,41,0.9545035407305155,0.829785723957544,0.5556564125870594,0.06548812392177521,0.337138337633864,27893.0,27914.0,14753.0,0,18.5,498.8181781735972
17,68961.0,48,2,0.04,207.5466473931,389.01278983453966,104.83711602305513,20.39026178881335,41,0.9538955460514567,0.8285768807266962,0.5374879332644705,0.06537112137727051,0.4036371884680275,26297.0,27911.0,14753.0,0,18.5,489.51278983453966
18,69589.0,48,2,0.04,204.8042866948348,386.57283141305174,104.03035625161478,20.245048925153473,40,0.9466633143629904,0.8214631092474328,0.5459339344843853,0.06563122048301931,0.3661573846408189,26252.0,29547.0,13790.0,0,18.5,487.57283141305174
19,68943.0,48,2,0.04,205.69725351288517,388.1394361815144,104.66209357295672,20.267045780689614,40,0.9476307186368158,0.8029233302961029,0.5379522867631755,0.06542101828838259,0.33778415707525006,27919.0,26252.0,14772.0,0,18.5,489.1394361815144
20,71215.0,49,1,0.02,211.65299412896724,396.81089734635384,106.97034327160968,20.893390090173586,42,0.9464193871141314,0.8092452909968881,0.5370452550880037,0.06562063394112225,0.34216750040383936,27912.0,29529.0,13774.0,0,18.5,497.81089734635384
