rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,releaseViolations,maxReleaseDev,completionTime
1,68622.0,47,3,0.06,202.425715111925,377.90981552150686,101.78141553102932,19.983436938617135,40,0.943584176132037,0.8295889189736889,0.5461846296544487,0.06542637531705846,0.36176475700406374,26282.0,29540.0,12800.0,0,18.5,478.90981552150686
2,72247.0,50,0,0.0,216.11862090786147,407.47519220215077,113.35755642909966,21.27255663519255,42,0.9557279366620901,0.83059473063478,0.5434325319204562,0.0656200024037162,0.3767515367423929,27889.0,29598.0,14760.0,0,18.5,507.97519220215077
3,67975.0,47,3,0.06,203.0706561619504,378.020263499948,101.7771789247772,20.098331229749764,41,0.9448303126881941,0.8049314370762239,0.5378763041712571,0.06541128991996543,0.3246112173780139,27932.0,26257.0,13786.0,0,18.5,479.020263499948
4,66952.0,46,4,0.08,194.36500987899234,366.63809072497105,99.05296204536462,19.358671605835614,38,0.945811120251826,0.8206513601700449,0.553548395006278,0.06557777750551645,0.3247645719385726,26242.0,27918.0,12792.0,0,18.5,467.63809072497105
5,71285.0,49,1,0.02,211.52201651595342,398.3879343732471,107.25505970817707,20.824059760452716,41,0.9527600592323097,0.8232043196288531,0.5455383824449319,0.0654789671506203,0.34107189125202225,27918.0,29586.0,13781.0,0,18.5,498.8879343732471
6,62987.0,44,6,0.12,190.73816092812748,349.6125320515993,94.49138185849758,18.843273594707398,38,0.9279615609678011,0.824520615011257,0.5390715941218044,0.06509657687455171,0.38372600253643113,22974.0,26232.0,13781.0,0,18.5,450.6125320515993
7,64687.0,45,5,0.1,193.56658737726013,360.9986753591963,96.20352654107076,19.03311866536157,38,0.9495953562848095,0.8280882970293831,0.5557129654021928,0.0650761088990655,0.37357573987990916,21367.0,29539.0,13781.0,0,18.5,460.9986753591963
8,61358.0,43,7,0.14,185.61395430632666,351.2331306572642,92.8193608958277,18.705451933663344,40,0.9315753202795728,0.7946756912854046,0.5380898555746397,0.06535766212127792,0.31658030236475726,24594.0,22987.0,13777.0,0,18.5,438.61218006042964
9,67295.0,47,3,0.06,199.1381242033982,380.1107361106648,102.88091695636558,19.630769411607584,39,0.9322143915412605,0.7954473917477688,0.538528283895937,0.06546725965229584,0.32543298563680323,24592.0,27929.0,14774.0,0,18.5,478.6107361106648
10,67913.0,47,3,0.06,198.77002205421525,376.55696456690896,101.34371030605088,19.652207476588714,39,0.9462606328471641,0.83955881167849,0.5450506046902274,0.06561171893231456,0.38614561572608025,26241.0,27898.0,13774.0,0,18.5,477.55696456690896
11,68904.0,48,2,0.04,205.66755692706172,387.3910910663514,103.7919370372347,20.29919974631559,40,0.9457575637212017,0.8363449749986149,0.5464827012660595,0.06552126069730574,0.368297900086879,27892.0,26237.0,14775.0,0,18.5,488.3910910663514
12,64721.0,45,5,0.1,190.80452104276253,356.8773521382124,95.62659411923457,18.912263815270624,38,0.9442658579094858,0.8353327351110593,0.5555532907479815,0.06551972894030443,0.3721306346901928,22985.0,27947.0,13789.0,0,18.5,457.8773521382124
13,69588.0,48,2,0.04,206.97052337961964,387.6734943534891,103.47000437248646,20.44121434338743,41,0.9455744938912644,0.834489805216187,0.5505027926450495,0.06555046591044254,0.35447329439291864,27912.0,27900.0,13776.0,0,18.5,488.1734943534891
14,66279.0,46,4,0.08,197.30886864050518,368.6491890482342,98.7902665990378,19.48206396983183,39,0.9466403788707964,0.822157351999184,0.5475583216342974,0.06536655584736344,0.3379127268210314,26252.0,26247.0,13780.0,0,18.5,469.1491890482342
15,67931.0,47,3,0.06,200.12192533474618,378.7712958547315,102.52572227943142,19.71919539848064,39,0.9532987820033406,0.8207621057547083,0.5411671907301289,0.06537702884428646,0.3760330894293414,26243.0,27890.0,13798.0,0,18.5,479.2712958547315
16,66314.0,46,4,0.08,198.8313659324702,368.0864022330599,98.63930045062757,19.66114495227741,40,0.9448981137555679,0.8276290656380888,0.5559707367831882,0.06544506311007729,0.3499487087339909,22970.0,29545.0,13799.0,0,18.5,468.5864022330599
17,68885.0,48,2,0.04,206.76762418237013,389.053122176363,104.39545660388791,20.355372760830168,40,0.9444296060191878,0.8108957754769439,0.5380477414786894,0.06529904320961283,0.3565797547997226,27891.0,26231.0,14763.0,0,18.5,490.053122176363
18,70540.0,49,1,0.02,212.17589804707995,397.4116069113717,107.6656519812298,20.921209722602786,42,0.9552612138438881,0.8151698587107921,0.5457637248825606,0.06560736125294091,0.30012355661163875,27879.0,27896.0,14765.0,0,18.5,497.9116069113717
19,65637.0,46,4,0.08,196.05074758145534,367.5367942246302,97.66891042007768,19.370590605973515,38,0.9515187964914269,0.8317225027393946,0.5461668271596162,0.06545199234014515,0.3598617520551007,26245.0,24606.0,14786.0,0,18.5,468.5367942246302
20,69616.0,48,2,0.04,207.4853007026032,387.29922753880237,104.56633375003673,20.506826370430748,41,0.954080631324467,0.8175359137103875,0.5419110402139969,0.06553358718442195,0.32822025440354036,27924.0,27910.0,13782.0,0,18.5,488.29922753880237
