rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,lateShipments,onTimePct,maxTardiness,maxReleaseDev,completionTime
1,59063.0,46,4,0.08,178.26688034168808,327.85138079044765,89.11835043861458,19.34771001115779,39,0.9514656069379095,0.8055832671186862,0.5296101045698041,0.0715088444163166,0.3425516305645353,23612.0,22151.0,13300.0,0,100.0,0.0,18.5,428.85138079044765
2,58747.0,45,5,0.1,175.40289058750582,321.3226569226988,85.4318804223343,18.94343271860058,38,0.9480591383242972,0.7924954423485985,0.5265220630936577,0.07120433593369317,0.3359109863242941,22131.0,25088.0,11528.0,0,100.0,0.0,18.5,421.3226569226988
3,59630.0,46,4,0.08,175.4583459217244,326.1985941902685,86.88564422035085,19.017655414195612,38,0.9369726883366647,0.8263995064817775,0.5396157536411103,0.07178550464285503,0.36322857072460674,22134.0,25090.0,12406.0,0,100.0,0.0,18.5,427.1985941902685
4,61753.0,47,3,0.06,182.47356025191456,339.0391995786705,91.04654813160124,19.65422615149415,39,0.9315195352763015,0.7828838468392839,0.5163297169796899,0.07120577749285616,0.33375714557052977,23642.0,26602.0,11509.0,0,100.0,0.0,18.5,440.0391995786705
5,61104.0,47,3,0.06,181.91638573463837,336.6639594811766,90.60526409438924,19.802285044184416,39,0.9334853721316316,0.7835373812024837,0.5122771618518089,0.07159221739545803,0.338982803708177,25081.0,23606.0,12417.0,0,100.0,0.0,18.5,437.6639594811766
6,56397.0,43,7,0.14,163.29872787906967,298.82778483469195,78.98946090432196,17.844523337401185,36,0.935473732302898,0.80976049083295,0.5326976043963084,0.07178730795938404,0.33599338618290375,22132.0,23637.0,10628.0,0,100.0,0.0,18.5,399.32778483469195
7,58169.0,45,5,0.1,171.21502285318562,323.6245608350481,89.66903704671262,18.782968001222468,38,0.9307166766320545,0.803364351006876,0.5205457413112669,0.07169872868146591,0.37029676503504777,23642.0,22132.0,12395.0,0,100.0,0.0,18.5,418.4174608350481
8,64110.0,49,1,0.02,190.46262010582927,355.3060686270143,94.64379069676116,20.581996749141794,41,0.9458335800829324,0.8066971951803935,0.5308812457710238,0.07182548545423334,0.34054809100628053,25113.0,26596.0,12401.0,0,100.0,0.0,18.5,454.8060686270143
9,60250.0,46,4,0.08,178.54648984191599,329.94257457553636,87.5576662634294,19.244768263032817,39,0.9484284845236932,0.8101001524426568,0.5260271910845018,0.07124450153869506,0.35735776464300384,23617.0,25112.0,11521.0,0,100.0,0.0,18.5,430.44257457553636
10,61139.0,47,3,0.06,182.87280824125438,339.31967046267454,91.4195604967697,19.741453013924136,39,0.9405389781133783,0.7806407959860849,0.515029984943253,0.07116042147381064,0.3384026145735326,23643.0,25095.0,12401.0,0,100.0,0.0,18.5,440.31967046267454
11,62104.0,48,2,0.04,187.35784490213587,352.71121723972897,94.60983315294399,20.230891003213944,41,0.9535845990375417,0.7740026625703328,0.5161177119310023,0.07141955089914533,0.31167996426255157,25149.0,23661.0,13294.0,0,100.0,0.0,18.5,448.05658390639564
12,61188.0,47,3,0.06,182.9497731357443,337.4299940059093,90.2842700177761,19.820212614421997,39,0.9533499093239248,0.7893110666330083,0.5267787930217431,0.0716305094819585,0.32693607362438104,23646.0,25139.0,12403.0,0,100.0,0.0,18.5,437.4299940059093
13,59063.0,46,4,0.08,173.87427090516644,327.4683722012937,87.20661206429509,18.857816236840616,37,0.9323034616269142,0.801157814038938,0.5311573739058183,0.07174020035387745,0.34045168559716055,22156.0,23610.0,13297.0,0,100.0,0.0,18.5,427.4683722012937
14,62658.0,48,2,0.04,186.39793116249768,347.150096473065,94.60126231810263,20.094031704909348,39,0.9540260968599499,0.790325811215444,0.5228037431140417,0.07148440322502071,0.32921087110905467,25116.0,25140.0,12402.0,0,100.0,0.0,18.5,447.650096473065
15,60548.0,47,3,0.06,179.47906134781826,336.96986686912146,91.98529544295418,19.34668321873883,38,0.9355648880347348,0.8040769674730182,0.523837624055959,0.07154221261230438,0.35935036769370016,22161.0,25096.0,13291.0,0,100.0,0.0,18.5,437.96986686912146
16,59342.0,45,5,0.1,169.2491475070427,317.0392289256377,85.1144132986245,18.62077064357464,38,0.9506305012276366,0.7736507054833293,0.5235631260006358,0.07184953633504673,0.29781227564519325,23630.0,25081.0,10631.0,0,100.0,0.0,18.5,417.5392289256377
17,58218.0,45,5,0.1,175.08719840500234,320.405061149034,85.18680951427932,18.9531975563159,38,0.9416130405593367,0.7912442020455953,0.526063458226667,0.07119041218489355,0.3175348153746008,23634.0,22179.0,12405.0,0,100.0,0.0,18.5,421.405061149034
18,62644.0,48,2,0.04,187.64971777984144,346.5310330721399,93.4843716338893,20.226150497050163,40,0.9538252151847331,0.7905252431714084,0.5224725629760472,0.07150342129423179,0.32868115730024183,25122.0,25118.0,12404.0,0,100.0,0.0,18.5,447.5310330721399
19,61735.0,47,3,0.06,179.03066714988134,334.63075694036473,88.17617494653251,19.39521089980041,38,0.9325550193982742,0.8240038010552438,0.5267911458168626,0.07192635697580618,0.39492250223515213,23628.0,26575.0,11532.0,0,100.0,0.0,18.5,435.63075694036473
20,62022.0,48,2,0.04,187.30166896021652,348.06262556891943,93.35123494975497,20.137712379626745,40,0.9408103143087676,0.7771122279907579,0.5176784588184885,0.07125954861965869,0.32567833604234736,23624.0,25101.0,13297.0,0,100.0,0.0,18.5,449.06262556891943
