rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,lateShipments,onTimePct,maxTardiness,maxReleaseDev,completionTime
1,120562.0,92,8,0.08,324.96979735851323,625.7965095261153,171.88381972805996,35.474165758525096,70,0.9662997925615591,0.8167367689969304,0.538154465580643,0.07251547227086254,0.33497215686141707,47275.0,50248.0,23039.0,41,55.43478260869565,270.2965095261153,18.5,845.7965095261153
2,123192.0,95,5,0.05,336.937572219622,650.1574026402695,179.2614676248889,36.83603614273528,73,0.9661638178801969,0.8125474924460754,0.5334958292657177,0.07270021828590925,0.3476449220098872,47293.0,50204.0,25695.0,45,52.63157894736842,294.65740264026954,18.5,871.1574026402695
3,126756.0,97,3,0.03,343.9257548381306,668.6297671127795,185.75034265701464,37.56735499392011,74,0.9682973769969929,0.8078971487945381,0.5343460741712238,0.07273029096377577,0.3242661023655534,50239.0,51717.0,24800.0,46,52.577319587628864,313.1297671127795,18.5,889.1297671127795
4,125235.0,96,4,0.04,345.4339516218768,662.9144117445303,182.30841088336442,37.67366103178337,74,0.9664236594684055,0.7873126756941483,0.5246543306235981,0.07252828053144804,0.32514427453352845,48725.0,51688.0,24822.0,46,52.083333333333336,307.4144117445303,18.5,882.4144117445303
5,122569.0,95,5,0.05,337.9173016109829,648.5915896632479,177.62271642487008,37.043123159500404,73,0.9643429762566416,0.8391572822238366,0.5431463244376972,0.07287302522151144,0.3668160840451735,47277.0,48723.0,26569.0,45,52.63157894736842,293.0915896632479,18.5,869.0915896632479
6,117862.0,91,9,0.09,319.1276756384728,617.4629356735807,170.03243407813082,34.92537150536648,70,0.969637522583015,0.7852492501086122,0.5192788208204696,0.07239779241297935,0.3149921927246273,47284.0,45777.0,24801.0,39,57.142857142857146,261.96293567358066,18.5,837.9629356735807
7,125317.0,96,4,0.04,340.6100691228334,656.6594804916999,180.84016190234132,37.348784998340555,73,0.9678213299093794,0.838377118866947,0.5435890046872912,0.07296278661221811,0.37293115784717906,47292.0,53219.0,24806.0,45,53.125,301.1594804916999,18.5,877.1594804916999
8,125519.0,97,3,0.03,348.28374385439895,669.166261137518,184.21035404208385,38.04409324928694,75,0.9667496327844933,0.8435992955426591,0.5403095373413821,0.0726864325325595,0.3937895446848349,45767.0,53159.0,26593.0,47,51.54639175257732,313.66626113751795,18.5,889.666261137518
9,128233.0,98,2,0.02,353.9235554867067,681.581981587105,188.6400606548031,38.5136737316655,77,0.9706180903219871,0.8037705309122585,0.5280547336084799,0.07242505079015897,0.3385466636277133,50240.0,53167.0,24826.0,48,51.02040816326531,326.081981587105,18.5,902.081981587105
10,108681.0,84,16,0.16,291.87581147233163,553.3515624202555,150.47697044412843,32.17381522955308,63,0.9617426757244296,0.80152928595442,0.533860311153484,0.0723652993926348,0.31259826811615943,44303.0,41344.0,23034.0,31,63.095238095238095,197.8515624202555,18.5,773.8515624202555
11,126143.0,97,3,0.03,349.9022224153787,671.2581711497754,184.26342429446998,38.08670581264416,75,0.966764060797762,0.8092754307762848,0.530534762975257,0.07247528659035575,0.3490896210546433,47288.0,53181.0,25674.0,47,51.54639175257732,315.7581711497754,18.5,892.2581711497754
12,125148.0,96,4,0.04,342.6823182381342,656.2703682893865,180.33642118955115,37.6015514914842,74,0.9678627320486566,0.8328154725520697,0.540411855343773,0.07299516762281384,0.3679139918935439,48715.0,51645.0,24788.0,45,53.125,300.7703682893865,18.5,876.7703682893865
13,125583.0,97,3,0.03,345.78341368898674,668.1645715299519,183.96969454392672,37.83523951336598,75,0.969108351157963,0.8258074443341974,0.5348607067185395,0.07272744409440109,0.3768416767282495,47259.0,51718.0,26606.0,46,52.577319587628864,312.6645715299519,18.5,889.1645715299519
14,126126.0,97,3,0.03,343.0754205248064,665.9944082936138,186.15395879194702,37.605652635155735,75,0.9650715992295474,0.8555849445029052,0.550073877921506,0.07290538256162336,0.384672127377954,47270.0,53168.0,25688.0,45,53.608247422680414,310.4944082936138,18.5,886.9944082936138
15,124343.0,95,5,0.05,337.22149025755397,649.033935470895,179.5616076616256,37.003507851327974,74,0.9672118324920466,0.8265803451661227,0.5433071677268542,0.07279409543842098,0.35049326452983165,47253.0,53167.0,23923.0,43,54.73684210526316,293.533935470895,18.5,870.033935470895
16,125557.0,97,3,0.03,347.1713336946878,670.7964051779431,184.93410661645694,37.88670539078031,74,0.9738126179053737,0.814393425444108,0.5335730101746367,0.07259421601925865,0.33803427409158093,50229.0,48753.0,26575.0,47,51.54639175257732,315.29640517794314,18.5,890.7964051779431
17,121708.0,94,6,0.06,328.70388821277334,641.5457248541902,178.99518905348,36.16245215285856,72,0.9764143196015557,0.8120727369383114,0.5343618693364095,0.07277971988918318,0.35192062605366015,47272.0,48761.0,25675.0,41,56.38297872340426,286.0457248541902,18.5,861.0457248541902
18,123220.0,95,5,0.05,338.33977606207327,648.2484654013773,178.4787632726013,37.087204440704056,73,0.9726871532896775,0.8293570920313303,0.5364815962814964,0.07285987361978147,0.376259924690143,48768.0,48747.0,25705.0,44,53.68421052631579,292.7484654013773,18.5,869.2484654013773
19,124097.0,96,4,0.04,341.48481859232584,659.4794316147767,182.83671208484688,37.292607937837325,74,0.966468282932546,0.8249447201712189,0.5342808340495823,0.0726876718546686,0.3669823886758046,47305.0,50228.0,26564.0,46,52.083333333333336,303.9794316147767,18.5,880.4794316147767
20,124076.0,96,4,0.04,343.55929426703307,659.8760356080572,181.78755370484063,37.54597568110638,74,0.9656524446072352,0.8277715812176433,0.5397082619825883,0.0726549450920431,0.3538406669829266,47280.0,50224.0,26572.0,46,52.083333333333336,304.37603560805724,18.5,880.8760356080572
