rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,lateShipments,onTimePct,maxTardiness,maxReleaseDev,completionTime
1,62627.0,48,2,0.04,181.01676767829838,338.48312670607606,89.55154741650712,19.82770294053402,38,0.9133783166090769,0.9077825379397517,0.8726238061431753,0.07281280680748735,0.4489094605565563,25122.0,25106.0,12399.0,0,100.0,0.0,18.5,439.48312670607606
2,60491.0,47,3,0.06,177.7601766595941,330.68344332626066,87.97336860758423,19.487335957317804,39,0.91128481993287,0.9107957071518324,0.8697479582193463,0.07266822003094528,0.47145185298665804,23584.0,23624.0,13283.0,0,100.0,0.0,18.5,431.18344332626066
3,60269.0,46,4,0.08,174.1971539224256,321.7604205890923,84.88982861550592,19.03465312774895,38,0.909570282658092,0.9042640623047278,0.8728507159226422,0.07253911476371046,0.4337346269970676,22165.0,26596.0,11508.0,0,100.0,0.0,18.5,422.7604205890923
4,60568.0,47,3,0.06,176.81219476372857,331.4103068204662,88.99440162781505,19.37551802494073,38,0.9141634550119159,0.897047699662302,0.8727128939429972,0.07263000637203801,0.40172157092291444,23611.0,23662.0,13295.0,0,100.0,0.0,18.5,431.4103068204662
5,60235.0,46,4,0.08,175.61271873776764,323.43634410008644,85.48143490146239,19.256494815634337,39,0.9096712092384276,0.896381943169166,0.8655074870919108,0.07242332193246519,0.41197833494236963,25103.0,23608.0,11524.0,0,100.0,0.0,18.5,423.43634410008644
6,61136.0,47,3,0.06,180.75096518501707,331.2781020644495,88.76591349568125,19.763747488292474,39,0.9117485520089448,0.8964929806515223,0.8619245761406086,0.07248420214601053,0.4393416000848119,25084.0,23634.0,12418.0,0,100.0,0.0,18.5,432.2781020644495
7,62011.0,48,2,0.04,182.17670118479612,341.18447271257384,90.94261188815403,19.917134190227735,40,0.9132783323502196,0.8997269419145235,0.8732616698336443,0.0726143124649442,0.4001961668462671,23640.0,25096.0,13275.0,0,100.0,0.0,18.5,440.68447271257384
8,61159.0,47,3,0.06,177.98120504370797,332.13582135576456,87.50385666414977,19.43496623807597,38,0.9099704215349714,0.9126209608535756,0.8678798264303772,0.07242426952799025,0.4908529441718105,22166.0,26595.0,12398.0,0,100.0,0.0,18.5,432.63582135576456
9,58212.0,45,5,0.1,168.91286177596945,320.87349881300645,86.36805308120437,18.513179231970316,37,0.9069661366969318,0.8956401323847966,0.8642897009208191,0.07224607612076693,0.4197827542200722,22177.0,23640.0,12395.0,0,100.0,0.0,18.5,415.2474654796731
10,62621.0,48,2,0.04,183.75160474920304,341.4084832214254,89.88604335091951,20.050692356687485,39,0.9142413859027237,0.9014488450417101,0.8652790806701488,0.07241318330602375,0.44188703673593815,23654.0,26547.0,12420.0,0,100.0,0.0,18.5,441.9084832214254
11,64963.0,50,0,0.0,191.76565910024883,358.24749110024885,95.5607326599935,20.878247874672482,41,0.9137637906947492,0.9106132691559197,0.8770247549899594,0.07258250503116416,0.4377811613479519,25099.0,26567.0,13297.0,1,98.0,2.747491100248851,18.5,459.24749110024885
12,60502.0,47,3,0.06,179.06723788816657,337.20580100873394,89.88826620359427,19.674307060481777,39,0.911731267165668,0.8987677606369989,0.8662726529875733,0.07243853842824889,0.4403362356475589,22132.0,25097.0,13273.0,0,100.0,0.0,18.5,432.55060100873396
13,62568.0,48,2,0.04,183.04976481434372,339.93966411989925,90.51576520672029,19.997428630132042,40,0.9117046909025173,0.8979226381901023,0.8634773310450052,0.07257228733067352,0.43143306883757127,25082.0,25079.0,12407.0,0,100.0,0.0,18.5,440.93966411989925
14,61122.0,47,3,0.06,176.47597660065784,329.8440475226436,87.48020815780632,19.412200977829855,38,0.9138345851508967,0.8984670758217834,0.8638730114532,0.07272546415228485,0.44773432979506095,25115.0,23613.0,12394.0,0,100.0,0.0,18.5,430.8440475226436
15,60567.0,47,3,0.06,176.79853041303866,330.92149991658476,87.69773104562579,19.338670966566113,38,0.9106066379512895,0.9040968472991499,0.8752607010857484,0.07254404640515608,0.42747152760344914,22138.0,25136.0,13293.0,0,100.0,0.0,18.5,431.92149991658476
16,60295.0,46,4,0.08,173.7157434538496,322.3509963524003,84.86371185192516,19.01174931086477,38,0.9115812479334734,0.8940511844425899,0.8645470928443091,0.07243792250612664,0.4318474722444341,22181.0,26580.0,11534.0,0,100.0,0.0,18.5,423.3509963524003
17,60277.0,46,4,0.08,173.08796564386213,324.8949018757462,86.33872975213012,18.814226854899292,37,0.9072453095272542,0.9014412866132655,0.8705478006167494,0.07208987820832914,0.4265125884405379,23627.0,25113.0,11537.0,0,100.0,0.0,18.5,425.3949018757462
18,53440.0,41,9,0.18,153.05263752275877,279.5439895552792,72.07975976747655,16.852946145448044,34,0.8987340931625258,0.8780475271655663,0.8531298690722435,0.07192149878575456,0.4031250540491802,22157.0,20655.0,10628.0,0,100.0,0.0,18.5,380.0439895552792
19,62035.0,48,2,0.04,183.2018062296071,340.7974826184961,90.33827726165538,20.014660023015875,39,0.9136566163215186,0.907624193411878,0.870715224614005,0.07251344333560172,0.44661806209608707,23644.0,25109.0,13282.0,0,100.0,0.0,18.5,441.2974826184961
20,64983.0,50,0,0.0,191.9442600672831,372.98797073394974,96.85521885986448,20.89082942987224,41,0.9176276991336617,0.9100743521772269,0.8668153529427935,0.07255866684959922,0.4854953366733485,25110.0,26574.0,13299.0,2,96.0,3.3983707339497187,18.5,459.3983707339497
