rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,lateShipments,onTimePct,maxTardiness,maxReleaseDev,completionTime
1,59644.0,46,4,0.08,174.53140468062568,321.9915923617851,84.79692025415984,19.117285571971628,38,0.925545330582933,0.8386319116664808,0.6139434431049982,0.0724994709597855,0.3594358124638105,22139.0,25105.0,12400.0,0,100.0,0.0,18.5,422.9915923617851
2,59101.0,46,4,0.08,173.10009377990474,323.66990102628154,85.51260100777841,18.972401678539924,38,0.9295531907330459,0.8542489153093222,0.6200357175510403,0.07246892227517399,0.3809078133185014,22160.0,23653.0,13288.0,0,100.0,0.0,18.5,423.16990102628154
3,61753.0,47,3,0.06,180.80943073104947,336.52430732679414,89.36150382431846,19.67768626274585,40,0.9108767589819855,0.8292596278898063,0.6053493293238458,0.07219257724600484,0.3560389064336512,23649.0,26592.0,11512.0,0,100.0,0.0,18.5,434.02430732679414
4,61757.0,47,3,0.06,179.1802531746456,330.8374744512413,87.98644900659825,19.651597019545008,39,0.9170077578951498,0.842562257776307,0.6154104423617788,0.07255816177868829,0.34798395896800943,25108.0,25118.0,11531.0,0,100.0,0.0,18.5,431.8374744512413
5,61157.0,47,3,0.06,177.89607634898127,329.85002528515145,87.44202035563968,19.56529230731424,38,0.9282515867508383,0.8367487910231695,0.6178881704031731,0.07272445513400133,0.3488977527539726,22170.0,26588.0,12399.0,0,100.0,0.0,18.5,430.85002528515145
6,62610.0,48,2,0.04,182.55764163701235,339.952858303679,90.0910030982915,20.005616258784844,39,0.916916637245897,0.8564709751189856,0.6207936709782935,0.07265249707594577,0.38610400061414074,23633.0,26578.0,12399.0,0,100.0,0.0,18.5,440.452858303679
7,64124.0,49,1,0.02,187.31168235304395,349.4605871149488,92.53237077494887,20.41468802801329,40,0.9256673663552255,0.8524130561929522,0.6215802097686687,0.07251836809050459,0.36640454560931557,25107.0,26605.0,12412.0,0,100.0,0.0,18.5,450.4605871149488
8,62061.0,48,2,0.04,184.17380321303142,342.29000390747586,90.62106261906757,20.084709852017994,39,0.9135651090638516,0.8204499225197024,0.6012446960321589,0.07235071947656811,0.31422400767186187,25128.0,23640.0,13293.0,0,100.0,0.0,18.5,442.29000390747586
9,63481.0,49,1,0.02,186.98733294187213,348.89073906432105,92.62855871839254,20.40556956453342,40,0.9284826855432271,0.8525933970880263,0.6193103683813063,0.0726910099097327,0.3881758851092871,23622.0,26573.0,13286.0,0,100.0,0.0,18.5,449.39073906432105
10,57299.0,44,6,0.12,168.8413376993214,305.43768921447287,81.2279832924653,18.622692053125213,38,0.9260056544827431,0.8454064664155243,0.6146931052268231,0.0722606796873088,0.3505311062240786,25127.0,20660.0,11512.0,0,100.0,0.0,18.5,405.93768921447287
11,61770.0,47,3,0.06,176.4086755857722,330.9415429616586,89.37385649309947,19.434368161535833,38,0.9100953999573286,0.8369417724976328,0.6144699383673167,0.07254068020059522,0.33253704240519083,23638.0,26600.0,11532.0,0,100.0,0.0,18.5,431.9415429616586
12,62037.0,48,2,0.04,183.23578827978443,342.3281125853401,90.49267297707573,20.056278921517134,40,0.9137520192890589,0.8435948543313626,0.6155453166028435,0.07259065174480021,0.35624074475232365,23631.0,25113.0,13293.0,0,100.0,0.0,18.5,440.8281125853401
13,61718.0,47,3,0.06,177.63796342793904,331.20804924354184,87.91215258350795,19.48262970853505,39,0.9271905456704198,0.8267897790499388,0.6110203619882844,0.07249595047610402,0.32495437068391364,25103.0,25102.0,11513.0,0,100.0,0.0,18.5,432.20804924354184
14,63507.0,49,1,0.02,187.74909013782215,350.03858401537326,93.61040353003379,20.438456893432257,40,0.9314802932366044,0.8318503499494756,0.6103183510849447,0.07242543725605802,0.3429728732533716,23634.0,26585.0,13288.0,0,100.0,0.0,18.5,451.03858401537326
15,63512.0,49,1,0.02,186.05403407886433,349.55932115369427,93.43615747630919,20.283900344872418,40,0.9345013227359477,0.8295944238265773,0.6140582793871626,0.07258302435094126,0.3207671665991063,25132.0,25095.0,13285.0,0,100.0,0.0,18.5,450.05932115369427
16,61737.0,47,3,0.06,176.46591013858952,331.59500233717114,90.49882773377269,19.27793079154416,38,0.9188951766598153,0.8247045375726678,0.61185013141392,0.07243110337393971,0.29206909290904387,25109.0,25101.0,11527.0,0,100.0,0.0,18.5,432.59500233717114
17,61129.0,47,3,0.06,179.5321490866267,330.49560795187483,88.88625697619582,19.665579679627598,40,0.932222680388804,0.8362546644948647,0.6163555503928084,0.07269989010382683,0.3174311840795456,25100.0,23625.0,12404.0,0,100.0,0.0,18.5,430.99560795187483
18,62604.0,48,2,0.04,182.01462544673677,340.5644261411811,89.76599243453992,19.923272938906123,39,0.930153474223658,0.85313991704234,0.6127183727830888,0.07263409867265462,0.4159189215468982,25104.0,25105.0,12395.0,0,100.0,0.0,18.5,440.5644261411811
19,61176.0,47,3,0.06,178.7225185680235,331.7864795609313,90.07882288708612,19.63034794539095,39,0.9304674027898889,0.8341083199833039,0.6169762791890441,0.07239905776428483,0.31147059761729484,23639.0,25136.0,12401.0,0,100.0,0.0,18.5,432.7864795609313
20,60523.0,47,3,0.06,179.98305801898547,331.2646778771415,87.68061009454014,19.728575830610776,40,0.929874034468616,0.85736001003473,0.6176668364088154,0.07248645317774244,0.4031762988144443,23641.0,23611.0,13271.0,0,100.0,0.0,18.5,432.2646778771415
