rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,lateShipments,onTimePct,maxTardiness,maxReleaseDev,completionTime
1,61123.0,47,3,0.06,181.9444099384846,334.9000113569242,89.31950103253139,19.87129517411666,40,0.7748687032062621,0.9527448216831136,0.7159941883792081,0.07229656786402099,0.8835589677714683,22149.0,26579.0,12395.0,0,100.0,0.0,18.5,433.4000113569242
2,55883.0,43,7,0.14,165.62734356947075,298.04133271675755,78.777721138901,18.168799648889976,37,0.7907929883918637,0.9462817818986927,0.7086691085430918,0.07183884053187663,0.8537658601608804,20687.0,23658.0,11538.0,0,100.0,0.0,18.5,399.04133271675755
3,58775.0,45,5,0.1,171.40396022380966,314.4200350386245,83.61177702147847,18.756942998010516,37,0.7872384851720566,0.9469478817053038,0.726459122362415,0.07221606439181656,0.8484094096085117,22160.0,25098.0,11517.0,0,100.0,0.0,18.5,415.4200350386245
4,62651.0,48,2,0.04,185.6048910029568,343.1859618362901,91.90168030179512,20.162174380633534,40,0.7746523677387244,0.9516555881538421,0.7364838565811217,0.07212308423633935,0.856980986641244,23645.0,26597.0,12409.0,0,100.0,0.0,18.5,443.6859618362901
5,62044.0,48,2,0.04,183.64094655550093,341.76315929295913,90.66380842281504,19.961262151977042,39,0.7783237985593017,0.9434661428836436,0.7214032026908942,0.07227340244635587,0.8402622511330091,23642.0,25124.0,13278.0,0,100.0,0.0,18.5,442.76315929295913
6,62606.0,48,2,0.04,181.30833744821575,340.2374770315491,91.35861887249396,19.78905434569042,39,0.7896249393927501,0.9514938433959959,0.7175298565026808,0.07260557966507886,0.8822830375556304,23632.0,26580.0,12394.0,0,100.0,0.0,18.5,440.7374770315491
7,59643.0,46,4,0.08,174.23476625714045,326.282158286126,86.3324756266586,19.06453164163546,38,0.7724302117339152,0.9450169351579486,0.7258804557864068,0.07219386706446866,0.8854521295908946,22148.0,25097.0,12398.0,0,100.0,0.0,18.5,424.782158286126
8,59123.0,46,4,0.08,176.37251808302005,323.8836593873679,86.12512088188042,19.308969964073814,38,0.7644821689012722,0.9523363063745163,0.6825843869268545,0.07226165755518597,0.8728747171873155,20685.0,25136.0,13302.0,0,100.0,0.0,18.5,424.3836593873679
9,60567.0,47,3,0.06,178.51670910070425,331.04816912797787,88.66724643000613,19.53921613363997,39,0.780249870005226,0.9477261161869323,0.7207149830477659,0.07252277771845392,0.8586647242040322,23665.0,23614.0,13288.0,0,100.0,0.0,18.5,432.04816912797787
10,62019.0,48,2,0.04,183.43638900656273,339.9340126176739,91.56407699881831,20.05618736496184,40,0.7939777956263647,0.9511393905764837,0.7532795632793446,0.07257321749807184,0.8798853998509822,25111.0,23612.0,13296.0,0,100.0,0.0,18.5,440.9340126176739
11,62047.0,48,2,0.04,184.2385988225163,340.71391271140516,92.71407672464572,20.24118898857387,41,0.7733911981074317,0.9461931743037266,0.7132423868305396,0.07252717803785795,0.854703404559222,23636.0,25114.0,13297.0,0,100.0,0.0,18.5,441.21391271140516
12,63539.0,49,1,0.02,187.00205177316383,349.1476136779256,93.10944945983113,20.38997998198092,40,0.7782232214781877,0.9515180953651781,0.7108243835519655,0.07256878782442955,0.8644005244282699,25106.0,25124.0,13309.0,0,100.0,0.0,18.5,450.1476136779256
13,59676.0,46,4,0.08,174.3940668228489,324.04840812719675,86.79846729536638,18.999783971637815,38,0.8133781205986446,0.9506310158420425,0.7304676009888743,0.07214864490796914,0.8408851631154497,25114.0,22157.0,12405.0,0,100.0,0.0,18.5,425.04840812719675
14,57908.0,44,6,0.12,168.06686691640246,307.9748170615513,82.32019099038098,18.583978639507425,38,0.8042528508235474,0.944292434783324,0.7033636971468399,0.07189986270379968,0.783263385784897,23638.0,23640.0,10630.0,0,100.0,0.0,18.5,407.9748170615513
15,61985.0,48,2,0.04,181.79776334236252,340.3401522312514,90.80548417961035,19.813966229067024,39,0.8003778207700452,0.9501545336381698,0.7385260362926456,0.0725064325967622,0.8656283928285972,25080.0,23603.0,13302.0,0,100.0,0.0,18.5,441.3401522312514
16,62638.0,48,2,0.04,184.26020986403637,341.9065397251476,91.78583586589441,20.025889174181323,40,0.8253853798598001,0.9538283298434473,0.7400176845426105,0.07225000565550034,0.8539986040878745,25112.0,25123.0,12403.0,0,100.0,0.0,18.5,442.9065397251476
17,63471.0,49,1,0.02,185.09231642351395,348.06677105800514,94.29035778317454,20.21111022105073,40,0.7808675253443358,0.949959770262236,0.7269920038128687,0.07274345102333833,0.8739500385515601,23601.0,26584.0,13286.0,0,100.0,0.0,18.5,449.06677105800514
18,59109.0,46,4,0.08,176.16387675185175,323.1527325489532,86.01526186694497,19.225273213496877,38,0.7852429297453698,0.9530084583012413,0.7233270713503498,0.07230099988363814,0.8660220838986079,22176.0,23634.0,13299.0,0,100.0,0.0,18.5,424.1527325489532
19,62600.0,48,2,0.04,183.3071777129597,341.8995908509125,92.84142844151923,19.98508869513494,40,0.7933467852301117,0.9521656247515196,0.7480156871267688,0.07241464048061569,0.891555095624546,23620.0,26579.0,12401.0,0,100.0,0.0,18.5,441.8995908509125
20,59101.0,46,4,0.08,174.30814350565032,323.43535147666483,85.76803559004325,19.050271788927756,37,0.7429815812753262,0.9532856018234463,0.6890879898977346,0.07233807362336632,0.8550542720032778,20694.0,25122.0,13285.0,0,100.0,0.0,18.5,423.93535147666483
