rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,lateShipments,onTimePct,maxTardiness,maxReleaseDev,completionTime
1,120313.0,93,7,0.07,323.97603899459006,636.8185081702173,172.18465493374083,35.964619870202505,71,0.856521807109623,0.9723761935892121,0.7671341082500449,0.07361582874726953,0.9361102990658356,47299.0,47289.0,25725.0,39,58.064516129032256,281.31850817021734,18.5,842.210174836884
2,129055.0,99,1,0.01,348.59115987854005,673.7326622354427,186.9602688632471,38.589716165713575,76,0.8628242849318499,0.9768954714017613,0.7792872940865895,0.07376505048457989,0.9346522918297987,50220.0,53159.0,25676.0,46,53.535353535353536,318.2326622354427,18.5,894.7326622354427
3,124662.0,96,4,0.04,335.5657290604731,648.3136206428239,178.87284254069635,37.174718134944975,73,0.8692293440145951,0.973137518970937,0.7695622867188997,0.07362130131203336,0.9233523386525772,48731.0,50237.0,25694.0,44,54.166666666666664,292.81362064282393,18.5,869.3136206428239
4,124630.0,96,4,0.04,341.38564064641156,649.6035017575227,180.4902384526216,37.80398413367874,75,0.8549597486762108,0.9759979492301719,0.7475152788938876,0.07355446779690732,0.9313885053480001,45767.0,53191.0,25672.0,46,52.083333333333336,294.10350175752274,18.5,870.1035017575227
5,123171.0,95,5,0.05,331.6929497018333,640.4741486492014,177.75593614138765,36.663447558955305,72,0.845151070885078,0.972342183014345,0.7561827430234326,0.0735173927536195,0.9273668489290737,45800.0,51668.0,25703.0,44,53.68421052631579,284.9741486492014,18.5,861.4741486492014
6,120226.0,93,7,0.07,322.8049058853911,623.4758298997281,172.046754461759,35.74969744819406,71,0.8587362847326143,0.975236322734293,0.768714314401047,0.07350536648734858,0.9375222604311898,45791.0,48742.0,25693.0,41,55.913978494623656,267.97582989972807,18.5,843.4758298997281
7,121671.0,94,6,0.06,327.8801609600441,633.0833840096894,177.39655512280763,36.5539022947932,74,0.8227582960256331,0.9741540282821497,0.7789358299781283,0.07363340362539655,0.9408947598654553,44285.0,51684.0,25702.0,44,53.191489361702125,275.0630173430228,18.5,851.0630173430228
8,118733.0,92,8,0.08,321.8275861417715,615.6617042577138,169.06064862194958,35.47992750029669,71,0.8417053704853029,0.9725912552074577,0.7588665392901492,0.07330720770559024,0.9322462862796623,44287.0,48754.0,25692.0,39,57.608695652173914,260.16170425771384,18.5,836.6617042577138
9,124678.0,96,4,0.04,341.353507860571,649.9232283466821,181.05256520714565,37.75897053050709,76,0.8542752412097084,0.9755278147973954,0.7763905095493063,0.0734852371792798,0.933290490149967,48746.0,50237.0,25695.0,45,53.125,294.4232283466821,18.5,870.9232283466821
10,126125.0,97,3,0.03,340.20790521998254,657.2544942234191,183.94038198493666,37.72213197171185,75,0.8591931242984052,0.975118341933862,0.7742482335768991,0.07367284028990316,0.9428304221873037,47294.0,53143.0,25688.0,46,52.577319587628864,301.7544942234191,18.5,877.7544942234191
11,128421.0,99,1,0.01,349.564236025561,674.2642185171435,187.42204660384172,38.67853244098,76,0.8423972852655505,0.9756876781174962,0.7615602278302896,0.07372125305009737,0.9286872889627041,48677.0,53147.0,26597.0,48,51.515151515151516,318.7642185171435,18.5,895.2642185171435
12,123148.0,95,5,0.05,335.0815746244101,642.1499149752873,178.16522875034266,36.99440237732189,74,0.8331468064941985,0.9743022543626666,0.7777718829984109,0.07341719072116025,0.9348264604996441,45785.0,51670.0,25693.0,43,54.73684210526316,286.6499149752873,18.5,862.6499149752873
13,114639.0,88,12,0.12,303.3527523348215,577.986844759064,161.02283533833628,33.94547486104458,67,0.8531968311247056,0.9739260895690808,0.7806997657759345,0.07342632366413708,0.9404033432197211,44334.0,47277.0,23028.0,35,60.22727272727273,222.48684475906396,18.5,798.986844759064
14,123755.0,95,5,0.05,333.1123942549185,645.7669942549187,177.85924731343127,37.01381240329154,74,0.8664318283042232,0.97476289948837,0.7589354452756137,0.07367951430692683,0.9256013027596562,48711.0,50219.0,24825.0,42,55.78947368421053,290.2669942549187,18.5,859.5785942549187
15,123212.0,95,5,0.05,330.23939396946236,644.4370620396378,179.39547365337714,36.691539929977154,73,0.8553825126037776,0.9751339213170958,0.7632426211486729,0.07370441164856222,0.9294283027737938,47279.0,50252.0,25681.0,42,55.78947368421053,288.9370620396378,18.5,859.2882287063044
16,120201.0,93,7,0.07,321.4148612194431,636.8097386387979,177.24516051368153,35.77758769389343,72,0.8511475940097808,0.974422430580238,0.7675979676930279,0.07365931388075697,0.9266254958297396,45819.0,48697.0,25685.0,42,54.83870967741935,281.30973863879785,18.5,841.7129719721312
17,118351.0,91,9,0.09,315.0382626060708,604.8275908111991,167.3784934061126,34.983561690863795,69,0.8491445078140549,0.9757715930442931,0.7655215996644259,0.07355072422711077,0.9441205354209804,44278.0,50163.0,23910.0,38,58.24175824175824,249.32759081119912,18.5,824.8275908111991
18,123115.0,95,5,0.05,331.5659861270282,639.5220247235197,178.8350836994335,36.80525224626727,73,0.8538233126953725,0.976762177512798,0.744723881614739,0.07359873601571316,0.9329246011159357,47232.0,50187.0,25696.0,43,54.73684210526316,284.02202472351973,18.5,860.5220247235197
19,119100.0,91,9,0.09,314.14677062790366,602.6406032286362,167.13230254253457,34.92882381863507,69,0.8777692744162505,0.9743723690082985,0.7691820757809652,0.07365672166823235,0.9423152639677838,47261.0,48787.0,23052.0,38,58.24175824175824,247.14060322863622,18.5,823.6406032286362
20,121747.0,94,6,0.06,326.434583747173,630.4014943854706,174.7121942978109,36.18268584615587,72,0.8550465402784841,0.9753424610777156,0.7794814104535907,0.07364738113654996,0.9285430082643702,47304.0,48764.0,25679.0,41,56.38297872340426,274.90149438547064,18.5,850.9014943854706
