rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,lateShipments,onTimePct,maxTardiness,maxReleaseDev,completionTime
1,126669.0,92,8,0.08,344.0227940996347,667.0365335923883,184.4487609060838,35.80957701438804,71,0.8412420167338233,0.975838156218281,0.7966778968012876,0.06906622758550329,0.936316883987178,50414.0,48813.0,27442.0,42,54.34782608695652,311.5365335923883,18.5,888.0365335923883
2,130750.0,95,5,0.05,358.44453283962685,700.0111198571705,194.69432048247674,37.25362476305454,74,0.8118194068267696,0.9758004928676663,0.7843109107163881,0.06914072662945406,0.9377112796508176,48844.0,53531.0,28375.0,47,50.526315789473685,344.51111985717046,18.5,916.0061865238372
3,133986.0,97,3,0.03,369.81026982334816,714.9001327099461,198.6993261365757,38.37898169562379,76,0.8256397685959641,0.9763780863836131,0.7758710469034296,0.06909569130994896,0.9302622536719877,50475.0,55156.0,28355.0,50,48.45360824742268,359.4001327099461,18.5,935.9001327099461
4,126675.0,92,8,0.08,348.59598054707806,668.1404932282375,186.3071629501833,36.451294056838826,73,0.8192239667439792,0.9759262854354552,0.7707162151257226,0.06898047473987826,0.9376465320717252,45711.0,53592.0,27372.0,45,51.08695652173913,312.64049322823746,18.5,889.1404932282375
5,132048.0,95,5,0.05,362.13454792865934,701.399146876028,193.51948611132008,37.6925690063384,75,0.8525448883665692,0.9774097469215234,0.7997295338969312,0.06903729496291787,0.9381665866624046,53595.0,51971.0,26482.0,48,49.473684210526315,345.899146876028,18.5,917.378546876028
6,128593.0,92,8,0.08,348.13759284198585,666.5226116825655,185.7220598219953,36.24074116363387,72,0.8574955700621134,0.9759002641060917,0.7903591434027666,0.06914517457113302,0.927826103296516,52012.0,52011.0,24570.0,45,51.08695652173913,311.0226116825655,18.5,887.0226116825655
7,129513.0,93,7,0.07,351.9097634673763,676.9883620336847,187.82274316683817,36.63843233497799,72,0.849210659849801,0.9758701139358777,0.7922902876407161,0.06915873381708262,0.9345508194135973,50422.0,53566.0,25525.0,44,52.68817204301075,321.48836203368467,18.5,896.4883620336847
8,136152.0,98,2,0.02,375.76117306706357,724.7306125228457,201.68927510322752,39.00659625473863,77,0.8472692649662521,0.9764713093687293,0.7803778200115286,0.06908239245745584,0.9279931159607889,52015.0,56739.0,27398.0,51,47.95918367346939,369.2306125228457,18.5,945.7306125228457
9,129205.0,94,6,0.06,358.99099791386925,702.284424864224,194.60430862318893,37.42523489748511,75,0.8199978671142776,0.977628728360769,0.7883228517070361,0.06903022802588812,0.9376394599041646,48841.0,52024.0,28340.0,46,51.06382978723404,346.784424864224,18.5,907.8148581975573
10,127283.0,92,8,0.08,349.32411519927746,672.963697807973,188.5358856966411,36.51872544855777,74,0.8067313527857102,0.9741154329707399,0.7814532920285769,0.06883465416783813,0.9350775883079946,47260.0,53561.0,26462.0,45,51.08695652173913,317.46369780797295,18.5,891.0240644746398
11,129550.0,93,7,0.07,355.81472543980465,685.454824364536,187.78681038364422,36.976356338251506,72,0.8321118423313987,0.9754211124020956,0.7804107510204474,0.06885242584031899,0.945408858222366,48876.0,55162.0,25512.0,46,50.53763440860215,329.95482436453597,18.5,900.4766243645361
12,131400.0,95,5,0.05,359.1623525162798,694.6042318145253,193.76832829384855,37.348206198755086,74,0.8357942385884615,0.9762894840639439,0.8024106946720792,0.06917107974459735,0.9295320733864897,52010.0,51998.0,27392.0,47,50.526315789473685,339.1042318145253,18.5,915.6042318145253
13,127271.0,92,8,0.08,341.7093420544598,665.9432920544597,186.2294864486329,35.586615977046336,71,0.8241329397943082,0.9728662859741826,0.7455190618716584,0.06915135824666384,0.9455317390030388,45685.0,55141.0,26445.0,42,54.34782608695652,310.4432920544597,18.5,886.9432920544597
14,130169.0,93,7,0.07,352.9278360320465,677.1076966055232,188.1219107499676,36.65274826648668,73,0.8534299640063395,0.977145466646332,0.8196004412252497,0.06903403704737687,0.9329861401926887,52002.0,53601.0,24566.0,45,51.61290322580645,321.6076966055232,18.5,898.1076966055232
15,127873.0,92,8,0.08,345.34347702525724,667.4038491267064,187.1555193998726,36.026657056816894,72,0.851285561154728,0.975900267295371,0.7876373394488039,0.06911546912230711,0.9267921636160298,50396.0,51978.0,25499.0,44,52.17391304347826,311.9038491267064,18.5,887.4038491267064
