rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,lateShipments,onTimePct,maxTardiness,maxReleaseDev,completionTime
1,127058.0,98,2,0.02,347.2491991446746,667.2516671718855,183.45611000611342,38.365338274627774,75,0.6408286279740232,0.965031058983185,0.9675431235283876,0.07355272807013002,0.6401271020321976,48764.0,51703.0,26591.0,47,52.04081632653061,311.7516671718855,18.5,888.2516671718855
2,119864.0,92,8,0.08,315.6347431644834,618.7922761354977,171.7764362560363,35.29644670270573,70,0.6370209743015911,0.9626741854799712,0.962035763120371,0.07366709220384608,0.6045438652822885,47212.0,48728.0,23924.0,39,57.608695652173914,263.2922761354977,18.5,832.5743761354977
3,127600.0,98,2,0.02,349.1660925993373,668.7208497421946,184.16792027712083,38.57165750261625,77,0.6387391310203487,0.9628965883225808,0.9649718929190839,0.07347256123411294,0.6198818497422942,50221.0,51685.0,25694.0,47,52.04081632653061,313.22084974219456,18.5,889.2208497421946
4,119378.0,92,8,0.08,317.0538908205797,626.9939346611593,169.59908924335738,35.262885184958776,70,0.6266075757256397,0.9645045969803867,0.9638531465892095,0.0736351149963099,0.6509530367319086,45818.0,48749.0,24811.0,40,56.52173913043478,271.4939346611593,18.5,832.9359346611593
5,122289.0,94,6,0.06,327.6388205028935,635.5429690844536,174.17733113313275,36.39187239869787,72,0.6378417318430267,0.9639538799038899,0.9611104736984416,0.07369110369459046,0.6400281688571743,45794.0,51681.0,24814.0,41,56.38297872340426,280.0429690844536,18.5,850.3966357511202
6,119300.0,92,8,0.08,318.6461491015813,612.0387592465087,168.8250230586362,35.47278684957036,69,0.6356965923598012,0.9651680199434571,0.9633588852012268,0.07371451468063409,0.6371781398509002,45780.0,48718.0,24802.0,40,56.52173913043478,256.5387592465087,18.5,832.0387592465087
7,122584.0,95,5,0.05,335.4108370360377,644.3380128255114,177.26538339116593,37.24939316227744,73,0.6385263194071723,0.9654502605859683,0.9673166039623345,0.07371147001073551,0.6168208753944571,47262.0,48712.0,26610.0,44,53.68421052631579,288.83801282551144,18.5,859.2059461588448
8,122888.0,94,6,0.06,326.2859282704277,629.1167495470239,174.1545146047488,36.21636597785072,72,0.6362783955028022,0.9648872501118916,0.9655530467269058,0.07371536521314037,0.6250465117161562,47273.0,51698.0,23917.0,41,56.38297872340426,273.6167495470239,18.5,850.1167495470239
9,122612.0,95,5,0.05,331.5769722423664,639.1714171546471,180.74599207083108,36.830293921239296,73,0.6386855201339254,0.9643425633493322,0.9643949181762888,0.07362873500590507,0.6640553909081736,44295.0,51736.0,26581.0,46,51.578947368421055,283.6714171546471,18.5,860.1714171546471
10,120789.0,93,7,0.07,323.77567406939386,621.3407357181396,171.3001958480748,35.943426083054604,71,0.6418992372955525,0.966217575851646,0.9633656458793113,0.07360441846272786,0.6085689297252882,50203.0,45789.0,24797.0,40,56.98924731182796,265.8407357181396,18.5,842.3407357181396
11,119941.0,92,8,0.08,320.0004259381599,614.433889706276,171.57689944297894,35.621607101882226,72,0.6393690148820704,0.9624290016087516,0.9619158739506873,0.07350292706223006,0.6320631346668485,45799.0,50209.0,23933.0,38,58.69565217391305,258.933889706276,18.5,834.433889706276
12,122300.0,94,6,0.06,326.7106564148756,635.9792801737409,174.59506215993636,36.22479894156815,72,0.6383990499105032,0.9643202322740081,0.9627652061618566,0.07365467078180386,0.6434437672842958,45770.0,51706.0,24824.0,42,55.319148936170215,280.4792801737409,18.5,850.8172801737409
13,119904.0,92,8,0.08,315.4874347969963,613.3252782752571,168.40088457540355,35.04634120201525,69,0.6376276038387378,0.9651243816708945,0.9630689524240931,0.07364489879600179,0.6498497015950969,45760.0,50234.0,23910.0,38,58.69565217391305,257.8252782752571,18.5,832.8252782752571
14,125537.0,97,3,0.03,339.70114886413387,655.9980151871578,180.60695967771375,37.615850293597774,74,0.6458373327615602,0.9671082464325665,0.9647824597845007,0.07373638884788847,0.6274018380181208,50206.0,48767.0,26564.0,45,53.608247422680414,300.49801518715776,18.5,876.9980151871578
15,120812.0,93,7,0.07,323.6105528624599,622.1891869126389,172.23421893469424,35.89230985639232,71,0.6374717754940789,0.9639224948160846,0.9627051592618082,0.0736176633035201,0.6524314748656709,45794.0,50209.0,24809.0,40,56.98924731182796,266.6891869126389,18.5,842.1891869126389
16,118465.0,91,9,0.09,314.48676969682714,602.4033957041532,165.47709550402914,34.939676262675455,69,0.6342993182917229,0.9617701165203536,0.9638174133577158,0.07367794082848797,0.6469457572224177,42829.0,51714.0,23922.0,38,58.24175824175824,246.90339570415324,18.5,823.4033957041532
17,124127.0,96,4,0.04,335.9279272811414,653.3888856144745,180.72317351806637,37.31640428234477,75,0.6422197237586201,0.9653470470983768,0.9670022855056694,0.07371593586902869,0.6462074476401736,45828.0,51716.0,26583.0,45,53.125,297.8888856144745,18.5,868.1976189478078
18,118760.0,92,8,0.08,319.97574543023336,613.5460439809578,168.55115088312817,35.4706075507295,70,0.6481834013259908,0.9612293899729522,0.959791072334204,0.07349304903628877,0.6430231987043141,44323.0,48752.0,25685.0,39,57.608695652173914,258.04604398095785,18.5,834.5460439809578
19,119579.0,93,7,0.07,321.65137564657135,620.1885863992595,171.8844073708467,35.76718327582485,71,0.6329689508987038,0.9638796557285216,0.964889810182156,0.07370523209949081,0.6530598331205806,44265.0,48741.0,26573.0,40,56.98924731182796,264.6885863992595,18.5,841.1885863992595
20,123159.0,95,5,0.05,329.97184598581106,639.4923814244075,177.6956877583478,36.52399376073226,73,0.6376117206796602,0.9620283869646917,0.9615603142766602,0.07364406325139088,0.6319804190998853,45810.0,51669.0,25680.0,42,55.78947368421053,283.99238142440754,18.5,859.9923814244075
