rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,lateShipments,onTimePct,maxTardiness,maxReleaseDev,completionTime
1,61130.0,47,3,0.06,180.98185485252316,333.505255561743,89.04754576255539,19.739840189713952,39,0.7979088700271184,0.9509737375548533,0.5180594683544065,0.07219574632288238,0.8706992104144549,22137.0,26595.0,12398.0,0,100.0,0.0,18.5,434.005255561743
2,58198.0,45,5,0.1,168.45915817059648,314.6138359483743,83.88155063897169,18.464477232958163,37,0.8194293574760602,0.9463201024232855,0.5426350109817085,0.07218239001005362,0.8566916563729616,22164.0,23630.0,12404.0,0,100.0,0.0,18.5,415.6138359483743
3,59040.0,46,4,0.08,171.95818480567905,321.5512616172733,86.01179514470124,18.916785048176912,37,0.7897994315295536,0.950045835257648,0.5347482576718887,0.07257502095554755,0.8783921235482766,23626.0,22130.0,13284.0,0,100.0,0.0,18.5,422.5512616172733
4,64102.0,49,1,0.02,185.80428171828436,349.22003682032533,93.63554934585464,20.300827504397795,40,0.8175565367861977,0.9474176490166638,0.5409265507787997,0.07263778349221704,0.8515340700426307,25112.0,26581.0,12409.0,0,100.0,0.0,18.5,449.72003682032533
5,64090.0,49,1,0.02,188.3879935580529,350.9221989807127,94.6647600624301,20.465246940914795,40,0.8254151802890887,0.9499331986086429,0.5452712352158804,0.07228382836768066,0.8592401163983032,25128.0,26576.0,12386.0,0,100.0,0.0,18.5,451.9221989807127
6,59347.0,45,5,0.1,167.75734235676205,314.03266348038187,86.05508783732893,18.405883662744504,37,0.8232969249696204,0.9443297673604976,0.5315597679818616,0.0722834673985077,0.8751682402470872,22151.0,26577.0,10619.0,0,100.0,0.0,18.5,415.03266348038187
7,61155.0,47,3,0.06,179.3834122637432,331.3693810580694,88.7528225805041,19.59033584282744,39,0.7946113562032111,0.9488550047961122,0.5340888822560704,0.07246889975570474,0.8742934858344272,22155.0,26608.0,12392.0,0,100.0,0.0,18.5,432.3693810580694
8,60320.0,46,4,0.08,177.41110764894847,324.5791025764847,87.20269072040354,19.504583210295415,39,0.8317256720571331,0.9501330809758419,0.5485187206906104,0.07205867600408149,0.8495168845099913,25148.0,23648.0,11524.0,0,100.0,0.0,18.5,425.5791025764847
9,63232.0,48,2,0.04,182.86907938423224,342.51755802868087,90.95203257515676,19.933689056210014,39,0.8330717043582441,0.9423705924597578,0.5290454485985085,0.07231351484120317,0.7248774360422868,25114.0,26587.0,11531.0,0,100.0,0.0,18.5,442.51755802868087
10,56399.0,43,7,0.14,162.30817887998128,298.8239881823069,77.3972633357974,17.886630139375416,34,0.8276099314940819,0.9432950777031187,0.5240309214662147,0.07169821599997545,0.8317319032769895,22139.0,23623.0,10637.0,0,100.0,0.0,18.5,399.8239881823069
11,63522.0,49,1,0.02,188.21017624094515,349.7752735198566,93.73171755973772,20.52114289580877,41,0.8366218494888249,0.9500566952632588,0.5531332491237083,0.07246774298774333,0.8610786559692886,25103.0,25133.0,13286.0,0,100.0,0.0,18.5,450.7752735198566
12,60886.0,46,4,0.08,178.39564361609445,340.1122204470575,87.30860662589866,19.53574858293196,39,0.8182455133870012,0.9460183310347088,0.5442400214130929,0.07189944798383664,0.8307758876786123,23647.0,26599.0,10640.0,0,100.0,0.0,18.5,426.52158711372414
13,62024.0,48,2,0.04,184.05369811680234,342.5480161458508,91.70223580871414,20.176244755905998,41,0.8417242668665,0.948147493749451,0.548180981659099,0.07255445853636461,0.8434976226167638,25098.0,23639.0,13287.0,0,100.0,0.0,18.5,441.0480161458508
14,61134.0,47,3,0.06,176.56168573481847,331.77529820178046,88.73104779028021,19.254589355610236,38,0.8221045690569446,0.9436359665494332,0.545336399486982,0.07248467229951998,0.8332919005980152,23619.0,25129.0,12386.0,0,100.0,0.0,18.5,432.27529820178046
15,63553.0,49,1,0.02,187.49304781650363,349.6351328505173,94.14159063669761,20.447411417825105,40,0.7638045157541653,0.95165970261851,0.5426042622355733,0.07257079992801795,0.8624993659306204,23660.0,26600.0,13293.0,0,100.0,0.0,18.5,450.1351328505173
16,59112.0,46,4,0.08,174.856502665815,323.0063186078439,87.81613921579262,19.210215956487364,39,0.8045062193484126,0.942352623372615,0.5419496084110532,0.07232596619634278,0.8076966898145286,22151.0,23664.0,13297.0,0,100.0,0.0,18.5,424.0063186078439
17,59642.0,46,4,0.08,173.2270657916376,322.86270202352154,86.2744034933642,18.907289133529755,38,0.835947396159122,0.9540568922809612,0.5545841336225835,0.07235047226440054,0.8663627748173238,23611.0,23620.0,12411.0,0,100.0,0.0,18.5,423.86270202352154
18,63525.0,49,1,0.02,188.06858187857918,351.0697165724568,94.04976751428818,20.42955584148489,40,0.8455583265800273,0.9495769020370999,0.5652634892758804,0.07226024099632633,0.8816355628821604,23631.0,26605.0,13289.0,0,100.0,0.0,18.5,452.0697165724568
19,60238.0,46,4,0.08,173.11517815446408,336.7142469950439,87.09966619429082,19.070425784205494,38,0.8041110106921647,0.9475292798331809,0.522797404562201,0.07247887124982406,0.8725294860911185,23604.0,25119.0,11515.0,0,100.0,0.0,18.5,423.1118136617105
20,62671.0,48,2,0.04,184.56127461235943,342.1644683623594,91.09210962865487,20.145768499344157,40,0.8211875762499403,0.9534534200557327,0.5514441589455685,0.0722895156197746,0.8631447231658796,25127.0,25142.0,12402.0,0,100.0,0.0,18.5,442.6644683623594
