rep,bottlesShipped,batchesShipped,batchesScrapped,scrapRate,meanFlowTime,maxFlowTime,flowTimeStd,avgWIP,maxWIP,dryerUtil,cleaningTeamUtil,packagingUtil,pressUtil,coaterUtil,coreTabBottles,plusTabBottles,maxTabBottles,lateShipments,onTimePct,maxTardiness,maxReleaseDev,completionTime
1,61125.0,47,3,0.06,181.33180672128415,336.0030996013446,89.01745696489249,19.582833708255095,38,0.9535321608536562,0.8203538473739255,0.5365245575501235,0.07178261359873472,0.35225767043728273,23627.0,25084.0,12414.0,0,100.0,0.0,18.5,436.5030996013446
2,60534.0,47,3,0.06,179.10743931579964,334.31153657833386,88.68703292286236,19.456888655534268,38,0.9447935529191208,0.8115319989365257,0.5324947341903216,0.0720618720926887,0.3546857742946019,25101.0,22155.0,13278.0,0,100.0,0.0,18.5,434.81153657833386
3,64945.0,50,0,0.0,194.7234408538314,364.2532405748256,97.31287152340515,20.92660769146372,41,0.9413924666717801,0.797360611863969,0.5288974526360343,0.07164556939388456,0.32922379934483664,25092.0,26567.0,13286.0,2,96.0,8.753240574825611,18.5,465.2532405748256
4,64989.0,50,0,0.0,195.21656128638907,364.95046221308627,96.62009363106267,20.99326456814249,41,0.9528908177679005,0.7999021984846735,0.530367614983292,0.07169222539251226,0.33805645324626565,25097.0,26599.0,13293.0,2,96.0,9.450462213086269,18.5,464.95046221308627
5,60555.0,47,3,0.06,179.65766041793657,338.7235890192947,90.90637235771497,19.33826114465777,38,0.9418495814654534,0.7962750964851041,0.5198669881573857,0.0712568852701656,0.3512490313096852,23634.0,23617.0,13304.0,0,100.0,0.0,18.5,439.7235890192947
6,63499.0,49,1,0.02,190.63772665039502,354.4435788766099,94.7664427227182,20.538186950588106,40,0.9536792536875688,0.8060512784738303,0.5289135943533317,0.071724947242075,0.3471571489295502,25106.0,25101.0,13292.0,0,100.0,0.0,18.5,455.4435788766099
7,63510.0,49,1,0.02,191.10371651931237,355.1004158838775,95.77883241000349,20.55212705484606,41,0.9463533199538451,0.7821656643337315,0.5212737794566414,0.07162165507646358,0.3319856902184461,23639.0,26593.0,13278.0,0,100.0,0.0,18.5,456.1004158838775
8,61126.0,47,3,0.06,181.0732846510409,336.49248712014503,89.34548828657297,19.52637457198548,38,0.9436498106607094,0.7924474928042126,0.527572279253445,0.07162027750371062,0.32010603582120173,23629.0,25104.0,12393.0,0,100.0,0.0,18.5,437.49248712014503
9,61158.0,47,3,0.06,180.27839801285538,336.6714625589122,89.02744313728734,19.501576847615137,39,0.952076549231215,0.8007681199879892,0.5262165828565138,0.07175493710928292,0.35288901370643616,23624.0,25127.0,12407.0,0,100.0,0.0,18.5,436.6714625589122
10,64986.0,50,0,0.0,193.1003842613676,362.1132260256028,97.67027807768217,20.848074877772138,41,0.943591775209104,0.8102833049616212,0.5271107996444268,0.07197663867084317,0.35483428183398796,25114.0,26587.0,13285.0,1,98.0,6.613226025602785,18.5,463.1132260256028
11,60528.0,47,3,0.06,181.88021732061455,334.81341188527193,89.17203800104926,19.73959342083097,39,0.9340485093254808,0.8340128653711177,0.5421033454668099,0.07189621172462184,0.36556329892493,22148.0,25098.0,13282.0,0,100.0,0.0,18.5,435.81341188527193
12,62627.0,48,2,0.04,185.62845116041885,345.0615162699144,92.04445476629893,20.10784759311852,41,0.9338748633452904,0.8016274818130614,0.5204897372630742,0.07181948806506638,0.35150479204949925,25116.0,25090.0,12421.0,0,100.0,0.0,18.5,445.5615162699144
13,61148.0,47,3,0.06,184.82291077073754,341.82138850585034,92.12828154032977,19.79029316514893,39,0.9446421223907249,0.7516184675571941,0.5069771340799755,0.0707584008962552,0.2966245223060677,23640.0,25105.0,12403.0,0,100.0,0.0,18.5,442.82138850585034
14,61124.0,47,3,0.06,178.9092835626038,337.50103176225696,89.66699965001096,19.33448384478015,38,0.9430395593258774,0.7906589116099051,0.524480115365466,0.07145555212814503,0.33323258826413904,22139.0,26576.0,12409.0,0,100.0,0.0,18.5,438.50103176225696
15,59693.0,46,4,0.08,177.48461836103817,330.0295531171607,86.76906947477447,19.078949174038016,37,0.9417218389550739,0.7857757742572451,0.5155452158598125,0.0711474803639067,0.3435063875255571,22151.0,25126.0,12416.0,0,100.0,0.0,18.5,431.0295531171607
16,60563.0,47,3,0.06,177.6527209079366,335.0374529629363,89.05557635904475,19.338197100100775,38,0.9433796694738867,0.8397780783877861,0.5360937648287374,0.07194176555925205,0.4062493765208829,22161.0,25109.0,13293.0,0,100.0,0.0,18.5,435.5374529629363
17,62627.0,48,2,0.04,184.6773513277677,350.33987071820036,93.55712392400278,19.865566117747758,39,0.9341000060320027,0.7919447060035165,0.5150758652354984,0.07145411137396417,0.3498635427553233,23631.0,26591.0,12405.0,0,100.0,0.0,18.5,447.83987071820036
18,62006.0,48,2,0.04,184.525742651417,345.6429022589213,93.06445530676613,19.896034337924505,39,0.9539748395025177,0.8094688364016063,0.525240263183703,0.07172589732567042,0.40228983092383874,22138.0,26576.0,13292.0,0,100.0,0.0,18.5,446.1429022589213
19,62623.0,48,2,0.04,188.34940099046798,349.66711694086075,95.34135547037283,20.194706990204306,40,0.9430587549815111,0.7510541009567467,0.5076806774762077,0.07100584621575404,0.30419163594225074,25113.0,25112.0,12398.0,0,100.0,0.0,18.5,450.66711694086075
20,61720.0,47,3,0.06,182.7608117560685,337.5971367004399,90.58417481935474,19.802747581520794,40,0.9456789630483166,0.7792480730812448,0.5165745116408128,0.07152142917281447,0.3267539437676604,25089.0,25116.0,11515.0,0,100.0,0.0,18.5,438.0971367004399
